,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
Industrials,0.0064539700882702,0.8786694611755825,0.011006904707153709,0.017514763101721398,0.0027443843751995267,8.091477640936873e-05,0.8949325547968028,3.048063397703693e-05
Basic Materials,0.6752954964286477,0.9848559417693157,0.8528019193233916,0.6241766826136748,0.5366154133194472,0.4800286749070588,0.5363955756764385,0.4489061017550915
Financials,0.024762574377332758,0.9541957531650427,0.5020208526568679,0.003640873520246668,0.0031354901879545594,0.05330684427073806,0.5855453700393003,0.006193823042494939
Consumer Services,0.05348113292608625,0.1423832630260342,0.29747537295257076,0.0032011641162141835,0.00010250470760131414,0.003075328559981161,0.0002227567547501419,0.6754745621445772
Health Care,0.0012460030929135613,0.3945256564986297,0.08111637622078005,0.12234710641126534,0.08657725900959168,6.245999241860645e-05,0.4934085273740112,6.51206850639241e-05
Utilities,1.6790712245251527e-05,0.462038400279849,0.013050311896739553,4.525707330294004e-05,0.003935842350994312,0.00018412595308592294,0.5115459405205245,1.103139985003665e-05
Oil & Gas,0.8949325547968028,0.5363955756764385,0.5855453700393003,0.0002227567547501419,0.4934085273740112,0.5115459405205245,0.41075530304603713,0.4091520139431095
Consumer Goods,0.00041236195281180166,0.17059177404498316,0.0257695384298533,0.0006895483912030542,0.03980419910613864,2.392779106541454e-05,0.4091520139431095,0.0013689453807097518
