,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Industrials,-0.0125439282436211,-0.0134329960206424,-0.0124443564707952,-0.0100850096894139,-0.0099915796815904,-0.0100293307006469,-0.0132214765675674,-0.0158943098383131,-0.0129286791764826,-0.0054942767072318,-0.019725144169405,-0.005659598986628,-0.0048567056258541,-0.0103689429515629,-0.0114953845809928,-0.0088099546303523,-0.013526324478928,-0.0168857856274094,-0.0092007664567657,-0.0093566115143418,-0.0121548131379557
Basic Materials,-0.0103502577562983,-0.0129355953066932,-0.0067224801087124,-0.0086649200569549,-0.0059123976820166,-0.0127665150654749,-0.0087241974568065,-0.0095187320613052,-0.0079094942809062,-0.0073733551609203,-0.0115865721379952,-0.0082062994846782,-0.006866169387114,-0.0117887811256091,-0.0131552166386568,-0.0113251743850609,-0.0059659092826453,-0.015346311481387,-0.0043609320720548,-0.0083535260772241,-0.0083109047651455
Financials,-0.013792739048386,-0.0121088555943846,-0.0093113597434275,-0.0176963497629135,-0.0112423806743352,-0.0124791981244665,-0.0161591140524049,-0.0078136369974014,-0.0104335246573676,-0.0139429228368703,-0.0084394146391662,-0.012715470713,-0.0122813452054005,-0.0130477868776564,-0.0165014194138463,-0.019534351139628,-0.0138946461026865,-0.0148127212717513,-0.0143890955565005,-0.0136679102294091,-0.0081717333167476
Consumer Services,-0.0107584388553439,-0.0132550123397074,-0.0124914155789883,-0.0147403985935473,-0.0125230044958987,-0.0134885849404126,-0.0104936006195485,-0.0094630694825409,-0.0113480250720784,-0.0114938295814537,-0.0130364591846818,-0.0107317740416179,-0.015043289430794,-0.0123648630214993,-0.0120714478228054,-0.0140377099840192,-0.009346034216319,-0.0114535956544581,-0.0106471864398806,-0.0136037210464323,-0.0144909801780098
Health Care,-0.0106490105436603,-0.0123203860058527,-0.0126737978796997,-0.0150165359181558,-0.013288960006535,-0.0149900587555978,-0.0139378851760507,-0.0151440602861261,-0.0166970672997672,-0.0093003864065736,-0.0071154358681173,-0.0095071967980188,-0.0109624434024413,-0.0113461488687504,-0.0093035871314687,-0.0131853312636995,-0.0156736955969896,-0.0137493216565482,-0.0094668963236551,-0.0125926202810634,-0.0146156702247524
Utilities,-0.0127071866006985,-0.0100823571753765,-0.0072057503181694,-0.0128345274805552,-0.0079562310425226,-0.0082266354673425,-0.0100140610175031,-0.0151076137735633,-0.0138295949345322,-0.0093637250309337,-0.0118911075774939,-0.0111504790597219,-0.0130779283518526,-0.0081525186486458,-0.0072838071955846,-0.0118856746019732,-0.0081577071363933,-0.0150405091328243,-0.0131826099509403,-0.0156932062953374,-0.0084823985280705
Oil & Gas,-0.0122531698594107,-0.0018707274935831,-0.000573518639395,-0.0082115888040453,-0.0042267856015635,-0.0029478328383948,-0.0046153852848079,-0.0143139671762034,-0.0058281194308801,-0.0104383433687378,-0.0126305141036745,-0.0023666746563888,-0.0093357365458537,-0.0113596433803374,-0.010091483378746,-0.0114232790185209,-0.0055187900161534,-0.0100086075221367,-0.0122603215796924,-0.0090171941653473,-0.0109064937169769
Consumer Goods,-0.0128432684465263,-0.0113308684942028,-0.009894109029775,-0.0104620343202025,-0.0116248148730827,-0.0125821402079326,-0.0114632292251523,-0.010873968208555,-0.0112931744615883,-0.0130913289326438,-0.0163433731702998,-0.0102418058684731,-0.013924937289684,-0.0117859743139755,-0.0101625161348252,-0.0107272301084959,-0.0138513782603737,-0.0115872595747091,-0.0158939275518862,-0.0134865935031621,-0.0118811935072487
