,2000_2001_2002,2003_2004_2005,2006_2007_2008,2009_2010_2011,2012_2013_2014,2015_2016_2017,2018_2019_2020
Industrials,-0.0031220721753080025,-0.002611875170864957,-0.0030606459201088874,-2.2449654977060467e-05,-0.0015867689493153474,-0.0025978919085047967,-0.0006023599091348451
Basic Materials,-0.002322169312904606,-0.002961963591515472,-0.001983345819238526,0.0024743104944499306,-0.0016105626501847008,-0.0020270012814973507,0.0006938738784015281
Financials,-0.003717199379393226,-0.0034534911945591075,-0.003962443924259957,-0.0011428282253207309,-0.002826058773822515,-0.003424587677081752,-0.002912860455684377
Consumer Services,-0.0038650788349706,-0.0037684617048366928,-0.004331523033497004,-0.0020409000229582,-0.003779861543571109,-0.003858304915193516,-0.0029121759408569695
Health Care,-0.002349630715883807,-0.0032900899991514638,-0.003736368120548783,-0.0020679971015937835,-0.0022767178941366308,-0.003095366541042071,-0.002641676360637134
Utilities,-0.002453313828860245,-0.0014066020963983095,-0.000873019120236521,-0.0017055024875439115,-0.0027439218305191724,-0.004357958103461062,-0.0033685943259658536
Oil & Gas,0.0029688676209874668,0.003453818313786943,0.0019446300398998164,0.0024313508532775377,-0.0024985696011826683,0.00012031577898292043,-0.00123770381799208
Consumer Goods,-0.0025083248478326137,-0.003974157908952766,-0.003271723903021985,-0.002661543549076471,-0.0017535591441750732,-0.002883717933647938,-0.0018455981289812343
