,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,0.10100063547976228,0.09597298748747855,0.10089549958443964,0.09334223211692723,0.0719429546195575,0.10948046909035926,0.10228631063804776,0.12059118468353085,0.09693242199693114,0.08524685224058917,0.08514270519300864,0.1057123829018066,0.12016937174733316,0.0935382419677167,0.10984649174956777,0.09916016854330456,0.10255851183899391,0.09516695757293461,0.09015850172865526,0.11199998816550927,0.1294586987997537,0.07640588393904317
Basic Materials,0.037259383188347615,0.033542931026443096,0.04165211832309335,0.050940964151594215,0.04331429948539143,0.03516528398110157,0.04397743283549964,0.056352780118861405,0.04294072307584456,0.045621075948042544,0.050890960977572605,0.03609572425197358,0.04123448550702969,0.04641996861999916,0.043389786422476206,0.041825063635295555,0.043648169135683076,0.03654332523185503,0.05352842151327284,0.04517908218290654,0.06224373043066002,0.028936170595599636
Financials,0.04734539842605781,0.046243735289643505,0.05768777881252612,0.06215558452152302,0.059287312189339504,0.04518155095882178,0.05983022724103031,0.07268394131673438,0.05366765229507402,0.05851000629497237,0.06652159267105738,0.0476882141082742,0.05976571969350733,0.05850462379120873,0.05820954169056253,0.05869963733213221,0.056907158565042665,0.049066180426567824,0.06548159042054214,0.05734792735826168,0.07484648500496403,0.03659783201484752
Consumer Services,0.04939413433052585,0.04371271773363081,0.057938231951193096,0.06354155516424513,0.05840962547930189,0.04635400420043031,0.06015942846144711,0.06636318428734762,0.056915237465989414,0.05517430027691385,0.06614878265163007,0.04586557132038889,0.05694006768621386,0.056870146547559855,0.05623340550464314,0.05644331971881795,0.05481478871876338,0.046075249577819166,0.06638818511382878,0.058444745887416195,0.06839211160482746,0.03331271485871419
Health Care,0.0817046200096473,0.07387299510083817,0.10205637035072997,0.10858402935672357,0.1013827161741939,0.07735227464928907,0.09676712460966364,0.11570946080774444,0.08714111756358398,0.09582343875488883,0.1081657790756356,0.0822249775897402,0.0987341889898951,0.09559430383228502,0.09448329591826868,0.10078268770607589,0.0979308585259032,0.08233010381968772,0.11175430696415542,0.09584173453629441,0.11951843369189005,0.062382624937513405
Utilities,0.08739005479488611,0.08654839802429178,0.08283413314278748,0.07674994356387808,0.0624948752649759,0.08519889297370466,0.08423863486515515,0.10825591042059138,0.08039533689658009,0.0716122910784775,0.07674959195465658,0.08995552154290223,0.10155209782397126,0.08072476931326646,0.08597158587549453,0.08458053083974224,0.08605923953224737,0.08433439065204655,0.07388419406073266,0.09388534066938523,0.11201336947904764,0.06401475444493056
Oil & Gas,0.022592904134422147,0.017320743989844133,0.027759124488091588,0.028371486081906774,0.020172310254758373,0.023097323378960772,0.0354591472435858,0.03635065261789397,0.03718041322627964,0.029689044567915653,0.03344593753502545,0.024466641438630605,0.025508139908546314,0.03658490528698141,0.027765112221760684,0.026644247372956894,0.022540694909128824,0.017116566447574935,0.03250360014582678,0.03125194755423816,0.045145679268105615,0.015327223704672426
Consumer Goods,0.062386526246544276,0.04940241523311724,0.07170562609352966,0.06567007730230581,0.0669738587384831,0.05521974832008134,0.07019099651674278,0.08171302059764116,0.06530678301495826,0.06641103643422851,0.07902000871134529,0.056880519627695254,0.06460108864223364,0.07037665192357753,0.05941788256789368,0.07071698485334138,0.057347583207217945,0.05322938474162429,0.07884289982417925,0.06603118978285863,0.07740665455973025,0.03606667503400123
