,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
Industrials,-41.328986949850794,-20.362164473751225,-53.18464113784183,-25.153049641947035,-42.430756378174664,-35.14179292516494,-24.671189222077093,-33.988187146582284
Basic Materials,-19.915711274774946,0.8280921890679834,-17.916488978597442,-8.340355365191817,-16.611028106652014,-15.40238432546175,-5.3797316328210965,-11.663629603337082
Financials,-55.40478078301397,-18.102002152606154,-32.57123158858054,-24.714311162597788,-38.28618085154111,-32.894635053406056,-24.415125856579756,-32.14338957978916
Consumer Services,-25.153049641947035,-8.340355365191817,-24.714311162597788,-7.878554535926119,-16.720529470384555,-15.50689973383674,-12.80717834358617,-14.651397415832994
Health Care,-42.04891315564255,-16.72067949103533,-39.13949651242782,-16.720529470384555,-18.819210004411797,-23.394053696260556,-14.834412140538975,-23.55251915390608
Utilities,-35.91566613816345,-14.805636526760733,-32.60259866158438,-15.50689973383674,-23.849373210261646,-11.317438851323185,-15.544319478403725,-19.779624460611274
Oil & Gas,-24.501322511692646,-5.559860241276414,-24.520864034247086,-12.80717834358617,-14.765614988734104,-15.776422852848107,-4.835776780147391,-14.320590322134398
Consumer Goods,-34.31887239575486,-11.545077067634336,-30.966079762145924,-14.651397415832994,-22.100945111571043,-19.730493260078365,-14.453687074459744,-11.423284811901038
