,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
Industrials,2.5440253219308528e-76,0.000434303574070609,1.4114611938924483e-130,2.466930116632288e-84,4.4000227958764e-125,2.9430894836906857e-102,0.36842053359471183,2.8235875616419203e-61
Basic Materials,0.000434303574070609,4.4864589788789944e-14,9.848023559671596e-05,0.41937371336928386,9.63268214655895e-05,0.00036677318042582714,2.4027886579352604e-09,0.35300892482612967
Financials,1.4114611938926092e-130,9.848023559671596e-05,2.271327799328077e-37,5.410714772792464e-69,1.7764882393275047e-102,2.8819811158329987e-79,0.010045160120523011,2.130060236807068e-43
Consumer Services,2.466930116631655e-84,0.41937371336928386,5.410714772791846e-69,1.8010126108814248e-16,2.2766164465304448e-58,9.423543642352628e-48,9.990346679183017e-08,2.1618047851356547e-30
Health Care,4.400022795873644e-125,9.63268214655895e-05,1.7764882393271e-102,2.276616446530055e-58,2.9583047752926143e-31,4.156064241105814e-52,5.9008124259155655e-06,2.5514988281999988e-45
Utilities,2.9430894836914404e-102,0.00036677318042582714,2.8819811158309444e-79,9.4235436423568e-48,4.15606424110617e-52,4.68033365984389e-13,2.8215808945027714e-05,2.8216855326163277e-34
Oil & Gas,0.3684205335947195,2.4027886579352604e-09,0.01004516012052272,9.99034667918412e-08,5.900812425916814e-06,2.8215808945026613e-05,0.4902450093110793,0.0022730048326203346
Consumer Goods,2.8235875616415984e-61,0.35300892482612967,2.1300602368063984e-43,2.1618047851358404e-30,2.5514988282007272e-45,2.821685532616772e-34,0.002273004832620269,2.5591323882157492e-08
