,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
Industrials,0.0,1.411461193890761e-130,0.0,0.0,0.0,0.0,6.474597402950892e-175,0.0
Basic Materials,1.4114611938926092e-130,9.848023559671596e-05,2.271327799328077e-37,5.410714772790766e-69,1.7764882393268472e-102,2.8819811158321765e-79,0.010045160120522001,2.130060236805638e-43
Financials,0.0,2.271327799328077e-37,5.10928091412361e-74,4.6113874461792394e-234,4.392688067678058e-266,1.370195681960424e-175,4.2317361172540725e-55,1.9130530784575368e-153
Consumer Services,0.0,5.410714772789377e-69,4.6113874461792394e-234,3.3385594893721863e-122,5.629914751407157e-294,2.091527013193199e-223,7.857824961119441e-124,5.9866604220952266e-207
Health Care,0.0,1.7764882393259869e-102,4.392688067678058e-266,5.629914751403953e-294,1.1508971935487143e-152,3.842532199328157e-232,1.0795013696683142e-81,1.7856219327648523e-223
Utilities,0.0,2.8819811158321765e-79,1.370195681960424e-175,2.0915270131935558e-223,3.84253219933078e-232,8.897904940078717e-48,3.204450987915414e-71,1.0482965282254183e-154
Oil & Gas,6.474597402952735e-175,0.010045160120521535,4.2317361172540725e-55,7.857824961121231e-124,1.0795013696691754e-81,3.2044509879161443e-71,5.132020540994449e-08,1.3733837006923563e-72
Consumer Goods,0.0,2.1300602368065203e-43,1.9130530784575368e-153,5.986660422094545e-207,1.7856219327670875e-223,1.0482965282265523e-154,1.3733837006922784e-72,4.970623969212346e-52
