,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
Industrials,-41.62900938276538,-20.185924453410543,-61.07521055660607,-41.328986949850794,-54.925434997044164,-41.67103115099009,-21.16571870132678,-42.41760323288479
Basic Materials,-20.185924453410543,3.8314594897835614,-25.5043500595612,-19.784323971738335,-26.578536505155434,-22.76312197018815,-0.9553952389118016,-16.95857379863947
Financials,-61.07521055660607,-25.109302800605136,-49.405152391530045,-54.93119147961371,-61.93818914758296,-50.86012533290881,-28.849138410878357,-46.4352727010211
Consumer Services,-41.328986949850794,-19.4673401576941,-53.78345232742725,-25.153049641947035,-42.487201054606174,-35.7636946395844,-23.36916858569778,-34.190497584802905
Health Care,-54.925434997044164,-25.043900808069015,-60.3346700336923,-40.17043144290289,-33.84593199988987,-41.77130008162462,-22.342398681613982,-42.046773971702486
Utilities,-41.67103115099009,-22.472595235902286,-52.664455743942426,-34.761305910238036,-41.189317594846955,-19.7207098434716,-22.96244776498915,-33.82303847831617
Oil & Gas,-21.16571870132678,-0.8964525009891461,-29.096289045156947,-23.888002435175284,-22.662799079923722,-24.370025315229057,-0.34541627231445104,-19.67163038139406
Consumer Goods,-42.41760323288479,-16.652461319646928,-44.384013691476554,-34.053489679836844,-42.021280849285255,-35.00066049804456,-19.0463609586881,-17.956374857136527
