,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
Industrials,-1.1820507597260699,-0.6776971881147356,-0.6997032081933454,-0.7254802492903374,-1.1009904872432392,-0.9547766061183784,-0.7326669519691452,-1.013449077916641
Basic Materials,-0.6776971881147357,-0.2589367461389823,-0.418335194275143,-0.4847473207445854,-0.6775046708394411,-0.5834264589221876,-0.2143595996961995,-0.6036248039678912
Financials,-0.6997032081933454,-0.41833519427514276,-0.41223084216254824,-0.48863681154340016,-0.6638500246142992,-0.5330225675632595,-0.4242583824947167,-0.5997190285443591
Consumer Services,-0.7254802492903376,-0.48474732074458565,-0.4886368115434004,-0.49701800237323257,-0.682837250164242,-0.604848182183265,-0.536676194671676,-0.6491297799680396
Health Care,-1.1009904872432392,-0.6775046708394409,-0.6638500246142991,-0.682837250164242,-1.0413007825726097,-0.8864425841422291,-0.66202289815678,-0.9442627817830054
Utilities,-0.9547766061183784,-0.5834264589221876,-0.5330225675632595,-0.604848182183265,-0.8864425841422291,-0.4945935052264973,-0.59196900663869,-0.7803300659291214
Oil & Gas,-0.7326669519691453,-0.21435959969619975,-0.4242583824947168,-0.536676194671676,-0.6620228981567791,-0.59196900663869,-0.013729099552631699,-0.6355246619678937
Consumer Goods,-1.0134490779166418,-0.6036248039678902,-0.5997190285443591,-0.6491297799680399,-0.9442627817830047,-0.7803300659291214,-0.6355246619678943,-0.781125647099152
