,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
Industrials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basic Materials,0.0,4.6511522249215176e-05,0.0,0.0,0.0,0.0,0.007454165664726453,0.0
Financials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumer Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Health Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil & Gas,0.0,0.006742650650318316,0.0,0.0,0.0,0.0,3.085975608385638e-08,0.0
Consumer Goods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
