,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-0.2022642195415322,-0.2452976031179852,-0.47921809788494585,-0.6752347845937631,-0.13178563342622318,-0.3163453610905583,-0.2624047745395161,-0.26569903139105533,-0.8690315341918349,-1.1932482988668507,0.7547718553588144,0.18028187142862173,0.03978522827462948,-0.34282525746097947,0.6075691172532828,-0.31248756846823583,-0.13959676397718565,-0.5986926747531898,-0.2790591675157438,-0.037520526345167095,-0.48734839121440077,-0.7388283487573426
Basic Materials,-0.11829109586056953,-0.26121679594416364,-0.6387910116839345,-0.7272536392659891,-0.21793747815923759,-0.14917155739928217,-0.3122285362144985,-0.45634436675034606,-1.167855343132388,-1.2119784348032203,0.9011428119763514,-0.12623506133570236,0.16275033385283122,-0.26200017198095155,0.4731288624464256,-0.8782341454930449,-0.33279727753640437,-0.5181337733109849,-0.7738526780324225,-0.2189012793351538,-0.5628646265678856,-0.7541029378573829
Financials,-0.22399458408531392,-0.2657646011446172,-0.5243133431890782,-0.6540322215897085,-0.3415636346076154,-0.3585262976264799,-0.4782699638993956,-0.5990034734210142,-0.9487359722423051,-1.1042697562971915,0.5980968388962077,-0.12006866007613565,-0.018155163204588428,-0.2277940047778051,0.16566326527200012,-0.45828118766102394,-0.2303578335656418,-0.5481981664922814,-0.6356590507370744,-0.25922596151299565,-0.22817287721468066,-0.8010689026025719
Consumer Services,-0.2781565451087095,-0.2517722916055201,-0.4823671953020967,-0.5438200934784463,-0.32280472218658335,-0.2550161853073297,-0.4467095047414538,-0.5320270644481835,-0.7764322600893577,-0.74512546659786,0.34458052107771314,0.12405320946553905,-0.13269523978350362,-0.22961956511147422,-0.034891882666129095,-0.551678712496571,0.14439445483991772,-0.5250941553487363,-0.5916447007562052,-0.23371717922848004,-0.5217795430572264,-0.7627948372460557
Health Care,-0.29746276761218465,-0.3680093514429122,-0.6388995452299255,-0.6353275263537543,-0.21878283808791368,-0.41477985072191387,-0.4812273908835248,-0.4020618895384736,-0.5638681269771902,-0.5404813577457493,0.6573130391171395,0.2852584112964989,-0.02951904219971477,-0.26872845312167837,0.16496878501615594,-0.15330100808945604,-0.1251722667050187,-0.6827568314138175,-0.18169046707588687,-0.34698113259078084,-0.4201773053716883,-0.7957722933645747
Utilities,-0.28449293774886053,-0.11047250698413111,-0.8198575833306401,-0.640793112160632,-0.31191662669404174,-0.5349493690537954,-0.4590672390399532,-0.22793910790352387,-1.0784811979783737,-0.8312154263996343,0.7249028624791863,0.17115928433108904,-0.2022848455211641,0.10500376209967432,0.004266888529249083,-0.4872211123258197,-0.409708707566534,-0.683601398953156,-0.6710409752008606,-0.3943363022470756,-0.13040452147604514,-0.8206366878500949
Oil & Gas,-0.23651439020041498,0.02768802553682854,-0.5066726118812224,-0.8714936929166814,-0.5034254051553211,-0.7111693532109612,-0.5299930555002733,-0.6825733586616917,-1.2787140899963443,-1.0179068446883075,0.7576845380149491,0.010406223735679409,-0.05382968779851302,-0.36997664952537435,0.019926717522413113,-1.0570172307831998,-0.2461564984313578,-0.6443399402205685,-0.5819534273999534,-0.2634120599492306,0.2940602633226207,-0.5410512886788089
Consumer Goods,-0.11219824291495374,-0.19068155726725203,-0.4386758216716334,-0.5614408266451076,-0.18467915886236363,-0.2485096010726173,-0.48167788260732525,-0.45488186841375694,-0.8799668208123896,-0.9779604106743044,0.8195826631165058,0.05282769752434378,0.12727461984808977,0.0029131810490806934,0.3075753934312012,-0.6849864267822263,-0.03494514684132015,-0.49402597552459915,-0.8130907526035792,-0.011946600619478017,-0.7860393061041318,-0.6565590541287816
