,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,0.0,6.538791862324216e-184,0.0,0.0,9.706528901110175e-151,0.0,0.0,1.5915113577641016e-242,0.0,0.0,5.944647167929196e-113,7.025265808581157e-38,1.7350055032563674e-35,0.0,1.2871062879534563e-06,5.295902433267376e-48,0.0,0.0,1.5582081339843146e-05,5.1045474428874684e-287,9.55101352366275e-218,0.0
Basic Materials,0.0,0.0005072273691617543,0.0,0.0,1.175195084711138e-126,3.329617316489662e-51,3.850744691155942e-200,2.603323915925973e-249,0.0,0.0,3.706844953906497e-170,5.2287309699799464e-42,2.8490051836737296e-188,1.8154824772819333e-223,0.06240701104286008,3.063049099212988e-146,0.0,0.0,4.672112536247073e-99,1.1313567344794982e-247,4.470997780648812e-60,0.0
Financials,0.0,5.405837221798808e-69,2.585848048821598e-267,0.0,1.3615148666699423e-252,1.2087083885496894e-175,0.0,0.0,0.0,0.0,9.326157845809379e-153,0.6749613435077797,0.004284684994311084,0.0,7.714659876683729e-98,6.994966169119991e-09,0.0,0.0,5.517631990275154e-105,0.0,0.0,0.0
Consumer Services,0.0,1.361534794112666e-228,0.0,0.0,2.2618767744435244e-254,4.783784509795492e-173,0.0,0.0,0.0,0.0,3.2246248449402e-06,1.9538543742327087e-68,3.855285882623378e-73,0.0,2.6897178445868066e-264,3.46398377161622e-132,2.920080144782194e-278,0.0,0.0,0.0,5.948970292242992e-220,0.0
Health Care,0.0,1.0024063598282879e-144,1.7542481411189934e-262,0.0,7.231168091047177e-101,6.680523531980294e-228,0.0,1.1244976136211101e-145,0.0,0.0,1.7780289469167464e-228,2.5250532544834017e-08,1.6497461344028437e-17,0.0,8.73496994170396e-161,0.897521045357836,0.0,0.0,1.3535555017637131e-18,0.0,1.3659983761304722e-188,0.0
Utilities,0.0,1.955034615984869e-183,0.0,0.0,6.077917835750196e-129,3.8065644758042115e-63,0.0,3.0270245119696494e-36,0.0,0.0,2.2616036080880286e-33,9.469561613762927e-94,2.4252067755670287e-38,1.1113250688471814e-63,1.2286518507392984e-97,4.1723031567702275e-29,0.0,0.0,9.636279347794814e-177,0.0,2.9698369185272367e-254,0.0
Oil & Gas,0.0,2.60743939036991e-125,1.5846987688418318e-190,0.0,0.0,9.444650239233797e-287,0.0,0.0,0.0,0.0,4.903278472971731e-19,1.1321301956115567e-12,0.03894655851608688,1.2419473178234236e-303,9.207213930341395e-19,5.109722077041093e-204,0.0,0.0,1.1562344086579197e-64,3.8009216680509647e-211,0.0,0.0
Consumer Goods,9.673737959021655e-221,1.404536980221078e-74,1.0857489326102633e-265,0.0,3.4248849825362375e-222,2.898072940781519e-164,5.622276846555806e-243,0.0,0.0,0.0,4.810060126384112e-136,7.770019217235145e-07,4.528987725772836e-12,5.878626958024967e-165,0.27262592078944936,9.209083032889112e-89,6.549332870810057e-170,0.0,2.947109677848821e-226,3.59906314890039e-170,0.004189031261117642,0.0
