,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-15.75701135559823,-11.106053315165447,-13.337930482693453,-34.48271563246484,-20.251065216971877,-23.581179911047776,-16.13358896047334,-12.620377435889404,-31.18097241638198,-22.358464256837493,7.265560492552084,9.723849391683581,4.202477678595338,-25.313890471224482,-4.261033294121286,-6.297241007007599,-21.189163986877073,-31.125364369319136,7.904148070573233,-11.979335642536434,-11.377914137298518,-21.91421989995152
Basic Materials,-11.769599102612103,0.544353214743361,-10.414021172804052,-27.2049355142684,-18.699044370205637,-10.871731812932671,-7.25490482851839,-7.818337307831916,-19.277335713192674,-14.210604470408688,3.865907300771887,1.2726420513490666,5.3487117091832435,-10.947320456918403,-5.3511795648705425,-6.91398070860236,-17.453341844576016,-16.608094081634327,5.5864296935226925,-14.197122182578052,-7.159663640597032,-15.71557348265669
Financials,-27.37031671804581,-20.01634370565341,-18.343906147573325,-50.165221890222405,-33.74176530206151,-31.297392501160495,-29.357282879020318,-25.560414670730868,-43.09062012935055,-29.74598855470983,8.21804092724238,2.563595446374815,-4.958878826679533,-30.233608639961908,-16.851195084535377,-13.233593406342496,-27.152908384329105,-38.40223223285233,2.3093584678934223,-29.508370530399603,-31.76584026867861,-35.74998495087642
Consumer Services,-16.02306480811081,-12.727724982710336,-13.580499696205992,-30.506957366425574,-19.16675793121775,-16.585892927027754,-16.487411550974873,-12.753939696861515,-26.92817751466476,-11.015152467144842,0.7037741232627034,10.028064326345213,-9.315819092617572,-19.272076374034466,-14.467491085503594,-7.738295781601643,-10.469909617976366,-22.50903750881284,0.2911191379913418,-20.418542587781914,-11.880303767976036,-20.956576799611167
Health Care,-9.375081206704412,-9.612646218086459,-8.360181414320069,-18.230271381837678,-12.134071765337795,-8.915654156734009,-9.188903277513324,-4.131046220972523,-12.702243079513787,-8.569523918350052,5.3201680987560245,7.716632767375832,-0.4452912616700983,-8.671782842097295,-4.662394363691164,-0.6217610352745376,-10.316622049366224,-15.924714170695294,4.437452401194368,-9.768582848895186,-6.413990356605389,-9.826244845305107
Utilities,-12.860654948055197,-5.903829662874104,-11.987682360224323,-26.914019877653438,-11.681322327456137,-11.376650313833043,-14.543928062076445,-4.622563316440153,-19.669370186024107,-14.804061362616238,0.7186611754037566,7.611842361443648,-5.766573444783558,-10.772680419884129,-9.071607105994435,-6.685815377753747,-15.162458473565994,-18.467007561111323,-2.3868188977272804,-15.038285804083012,-13.566810470867598,-13.878176699440314
Oil & Gas,-4.68449494251141,-0.7041254223927295,-4.507097260991334,-16.260643437118812,-15.925833349083938,-9.854978865397833,-5.888677562693178,-8.211296736839918,-13.236546544039733,-9.32774846947481,4.532992023071725,10.719442334345837,0.8895086181582716,-7.58909958200021,-3.1018820578206605,-4.883140159977776,-6.968808034535976,-9.254292409936463,1.6407947606689484,-3.4369232534777203,-9.40003252946553,-7.520059471177157
Consumer Goods,-9.660329046261834,-4.6979719475315855,-10.418419047506703,-23.495622946317386,-12.475159080964943,-16.75957821942832,-12.901403149302407,-12.619155922484461,-18.451641168507415,-14.339723528020397,4.30515625830917,0.7069399638179049,-3.5723637433140665,-11.872938300989302,-6.130151187904075,-9.164749768580355,-8.563229678034824,-19.03122888756701,-0.6169428658655354,-10.780570250013534,-3.091937843555107,-13.457179493590335
