,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,6.064306061730006e-123,9.627871942193749e-44,1.2896056180185211e-75,6.384949888350749e-143,0.029907388736652114,3.078403067698054e-07,3.894509334006509e-16,4.423708317286966e-09,1.6207805426127383e-168,4.6566211488962786e-129,4.645876807918591e-12,3.3407886397474557e-264,5.915105550484691e-34,3.747952602236413e-143,0.558059758323175,1.1866753796499777e-22,0.0003624973542143714,8.084279254067786e-122,1.9685610421707803e-14,2.481632473931793e-24,3.429009641663315e-38,0.0
Basic Materials,7.546961525043205e-70,2.8624705687954692e-12,1.0174841627565376e-43,7.87474105992976e-86,2.2462593252829202e-07,0.9951192104091136,5.533861794807586e-11,1.7751241253941895e-17,6.420099686644728e-121,1.387554696661934e-54,0.0992707367248226,2.707452194561063e-58,6.7272511809554695e-09,7.877088716798089e-36,0.07107870568354911,6.329844428608439e-38,0.3012304592427039,3.462105404663573e-32,3.9145536294619945e-23,4.702165327605175e-25,1.5540858573291616e-12,1.2666677703486058e-193
Financials,0.0,1.1095731806876759e-114,1.325441336010883e-136,0.0,8.541384918812451e-63,7.108989769281916e-24,6.472867036295438e-109,1.0997174830329691e-221,0.0,3.723760419323957e-237,9.805005681858845e-10,7.106050565708708e-164,9.257725993042366e-83,6.360729126351742e-173,1.4800481016800216e-130,3.57583984167101e-69,2.640082667614655e-07,4.382254056992587e-201,2.547154254248545e-128,3.953813303374339e-140,1.755923680091234e-45,0.0
Consumer Services,1.2045904593878925e-42,2.1020295631139322e-12,6.87424265271245e-11,7.786700497055014e-42,1.2788978643541888e-05,0.0996293438673368,0.0002557029560637626,8.592855027995044e-17,1.4105328951440642e-19,5.786069063257104e-35,0.0011186797293990835,1.9295476411300502e-56,5.262649917665067e-18,1.758157812215723e-06,4.9948994724173563e-17,2.3725838038801626e-07,7.083512154725927e-13,7.578190835135813e-13,1.0445686875637866e-08,5.309279577314269e-14,6.6650548504205276e-06,1.5017464657491354e-155
Health Care,1.1219269862933063e-99,2.154710385450656e-58,5.378947687506251e-60,6.747714281492105e-99,3.8366809450861653e-10,1.2416913585062476e-06,1.273523208723038e-36,2.760299975778254e-16,1.314800604294739e-58,1.7758323827301147e-17,3.768072289486254e-06,2.6029791947871327e-63,6.101007279728516e-18,8.337891084629197e-52,5.376509839765179e-29,0.0003478819979977754,0.5071256613285959,3.9417549963008755e-76,8.696185481277639e-08,4.9751553303965326e-52,2.1501935446733888e-17,8.949847439773011e-156
Utilities,5.814704471830972e-80,2.0806584798301077e-18,6.147784191776113e-82,2.5090456725755124e-121,1.4903351573785294e-09,1.2800859556945128e-08,1.3123206319200514e-31,1.39438511089077e-11,1.0828123759790735e-118,0.025497481875798967,0.7838678923949455,1.238256572446065e-97,7.268104722674649e-29,4.6427866945455855e-21,1.2634093542190276e-42,5.7745827461756565e-31,1.1228064762484859e-12,1.4626113759168494e-53,1.606278839248466e-41,1.2250448930808662e-58,1.4887778473868454e-16,1.2626128541029505e-171
Oil & Gas,2.45288085273061e-47,3.54734486287336e-20,7.610980568947946e-31,9.711526929430392e-99,3.7548141202484564e-29,1.4818217550073554e-14,6.109063788884031e-36,3.889437265403469e-56,1.8004973631877631e-196,3.0235170001249545e-21,0.002676960045204395,1.2502729638173782e-48,3.114129311875115e-23,6.786005979935199e-48,1.2979649011561934e-31,1.0125623138542794e-42,0.0038291695070235285,7.458428696022326e-45,3.680294556958562e-11,4.486722335202597e-39,0.0064177366937054675,1.483721620246031e-143
Consumer Goods,2.050114938549744e-41,1.4150468988128128e-18,2.9501446601692145e-37,4.390054241135026e-62,2.565496972083283e-25,6.589520087083444e-05,1.0408062498166825e-24,7.957122292459956e-55,5.67159455358195e-76,2.2735625348936057e-69,0.00682993412814357,1.0832676519433166e-27,9.008767729500814e-20,1.0234428809153198e-19,2.2184519327677346e-16,1.0457660028599683e-27,3.882059789350288e-07,3.185302496435735e-48,4.104108784264774e-37,2.4396204546677552e-21,2.317742134942362e-25,4.835312422437488e-160
