,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.977263377119016e-13,0.0,0.0,0.0,0.01490466906761645,0.0,0.0,0.0,0.0,0.0,0.0
Basic Materials,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.497054284513524e-09,0.0,0.0,0.0,0.8914286041287733,0.0,0.0,0.0,0.0,0.0,0.0
Consumer Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1313426024072157e-07,0.0,0.0,0.0,0.0,0.0015140055851636802,0.0,0.0,0.0,0.0,0.0,0.0
Health Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1823374574125864e-07,0.0,0.0,0.0,0.0,0.00011361485202576738,0.0,0.0,6.838973831690964e-14,0.0,0.0,6.039657662881837e-11,0.0,0.0,0.0
Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03909329390355931,0.0,0.0,6.290527720942407e-08,0.0,0.0,0.0,0.0,5.014482162835066e-10,0.0,0.0,0.0,0.0,0.0,0.0
Oil & Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007753814352849497,6.098253884090354e-07,0.0,0.0,0.0,0.0,0.0,0.020025073723800135,0.0,0.0,0.0
Consumer Goods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6755661828435704,1.918606251649635e-08,0.0,6.683542608243442e-14,8.332476460437555e-05,0.0,0.0,1.0140781412149025e-05,0.0,0.0,0.0
