,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-0.5743597578566463,-0.38126098242302886,-0.5084884304057634,-0.9122234964488143,-0.14273896215724502,-0.31439786054319363,-0.49346703690701293,0.09995163013235468,-1.1965343815823064,-1.1697584229743285,-0.12514543752787113,0.4676673246078615,-0.07725189304284992,-0.40114995176208035,-0.14484216699266722,-0.22635726944965262,-0.5142083561061396,-0.7375800670283188,-0.3129409766978213,-0.537414142354551,-0.3579515315747237,-1.014407235681843
Basic Materials,-0.7621485424015157,-0.28005569752073767,-0.6732975450522665,-1.2542298036538173,-0.19862890689200285,-0.287081184539501,-0.6166245670126607,-0.05261299390375281,-1.4936314463669123,-1.0556440175404904,0.047279280850540034,0.0001675616778051627,-0.08683875510189736,-0.22494739399110944,-0.2229500492549376,-0.4577752330921959,-0.8040300848575719,-0.6429131228223257,-0.37375803973667815,-0.7360166866570752,-0.3380350139763504,-1.2050269662452575
Financials,-0.8406868486055357,-0.4319488600348741,-0.6047409748077892,-1.1040540608629101,-0.3571093287828615,-0.2502861641705101,-0.7463555574210754,-0.18909083143728259,-1.2557342852811353,-0.9686076838697478,0.19260903407218438,0.3398610944621243,-0.1925675250249812,-0.2485126857088567,-0.31038327967631896,-0.1722719067009297,-0.5922549086634816,-0.5863786675721376,-0.4215297401467731,-0.616392428177151,-0.5246345462870009,-1.2331514749619896
Consumer Services,-0.6498023700560815,-0.3828169720216057,-0.5483037655274732,-0.8885096715438755,-0.30532832097765256,-0.21634779899233553,-0.5749050795793732,-0.1541488269170035,-1.052807024206481,-0.45844896833154114,-0.2805292359884963,0.31968634374962934,-0.30994809899179937,-0.3312925688727261,-0.4205094073179675,-0.31806471239792444,-0.3451541632235352,-0.6184509885926238,-0.4959428361188196,-0.6327645192024063,-0.47003755020724713,-1.189148913851136
Health Care,-0.7498513519187643,-0.43954172199678415,-0.6035772913543687,-0.9696605599574735,-0.23090984511793788,-0.32349110994966285,-0.675991113230116,-0.04354418349086742,-0.8116078773389744,-0.6813318298607539,0.1114081966008184,0.3282428306835072,-0.17699528792157426,-0.36302971797177763,-0.35732250661610276,-0.12416038858674246,-0.5426441193951235,-0.7628865097023492,-0.39498117404050737,-0.662692046655579,-0.43359904760192874,-0.7882666527414742
Utilities,-0.9665429870373551,-0.6223872290318844,-0.8865439108830675,-1.6228949582507874,-0.15576952225361698,-0.4519955647384864,-0.9245149335357359,0.2749532064117146,-1.352164113493634,-1.191552533175831,0.2117035093969811,0.6682269486951695,-0.048633987430278705,0.04360860665013097,-0.14602455123260955,0.058880603488196175,-0.589273126284432,-0.5971291465638146,-0.4199535226162921,-0.595255210684047,-0.46784089126718287,-1.1220504884583549
Oil & Gas,-0.6484282059462174,-0.5019750391762239,-0.5276601434907677,-1.2876274346281218,-0.4347580548407334,-0.5400026121293827,-0.788456670319015,-0.39918119571382193,-1.5962828444552055,-1.1053781478568978,-0.25994024035904273,0.14494081102685796,-0.18725363196929234,-0.40098813166712016,-0.33259819833394805,-0.4960415599992355,-0.6904931326415561,-0.7658789662555401,-0.20052064413113224,-0.6483494480939526,-0.9348750937366204,-0.8380989799487352
Consumer Goods,-0.4852846774658175,-0.20393512052236995,-0.634045301067654,-0.9479548762985809,-0.3322754692744445,-0.4214875301426572,-0.6034728952217218,-0.256832029531393,-1.1950266570667338,-1.0200459155155757,0.09585102381601739,0.016883139787067344,-0.17512220006993254,-0.12420597514300487,-0.2052660240771495,-0.3958575914488111,-0.41867633235200546,-0.7081672173408795,-0.4130031872237748,-0.534806459842611,-0.10713790694550362,-0.950011007524202
