,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-13.673331538417038,-6.217369598294652,-12.610833211872265,-35.79603611782894,-17.251567510801078,-13.540834205144835,-2.833695849801666,-10.491229032609125,-46.14544460847555,-34.35416533307616,-0.45210657615236677,5.728111775399127,7.2973921676475335,-19.442784802405654,0.8902947021819909,-18.506808970836815,-26.518369825293224,-21.50940913622903,3.9119363742544357,-1.2316735660523872,-1.719579171329861,-19.455566099415964
Basic Materials,-6.770972958057431,-1.2196104069883473,-7.951074672711492,-19.060168599492215,-8.890263950969354,1.8050833895748117,0.787952298867283,-3.6886464029373394,-26.03286282770046,-19.998103147327992,3.726289293217138,3.126765357057361,2.8769377177266486,-8.409410806081366,1.2670332811482188,-10.297029264882168,-14.82272420534556,-8.772504991046574,-3.022844551449473,-3.43550540796434,1.9000947532548738,-9.355248890705193
Financials,-26.40962349331726,-9.704749563059718,-19.861890094830464,-56.386781940462036,-28.364551244370578,-19.526709319389933,-16.459680308983415,-23.069914985586937,-71.14668724900241,-43.114508175318406,4.795316768714275,-6.843676347894361,10.767957273034853,-21.346674656195795,-3.107100449685504,-29.2106144001979,-35.146147464934465,-27.557541295808733,-14.501427073054101,-23.44861775514324,-18.316413059240503,-33.482129096518975
Consumer Services,-15.043544705773218,-6.402829643590138,-13.679207823594409,-32.57862245909243,-20.62994361968274,-9.337609262410355,-10.393690953552488,-10.839855321223624,-45.672512539313736,-14.573392586506001,-2.0608327233284016,3.695882269430804,-2.2746656577841855,-14.338930649898373,-9.723085434661012,-20.18475958684861,-10.5639238132481,-15.454173075362325,-9.72735147575578,-15.528501874828704,-5.093567816440753,-22.466611615887466
Health Care,-11.769599102612062,0.5443532147432992,-10.414021172804045,-27.204935514268456,-18.699044370205634,-10.871731812932676,-7.25490482851834,-7.818337307831902,-19.277335713192652,-14.210604470408681,3.8659073007718847,1.2726420513490626,5.348711709183237,-10.947320456918401,-5.351179564870515,-6.913980708602367,-17.453341844576002,-16.608094081634338,5.586429693522697,-14.197122182578013,-7.159663640597028,-15.71557348265673
Utilities,-12.05367476419051,-13.129567955679274,-12.895624554188025,-31.36496025822994,-7.240989925108879,-9.225561515700756,-8.4172300518156,-3.6967764836171226,-39.45494702725616,-21.354616480367106,-1.9083344291693332,3.439509549410351,-3.524021424350838,-6.726663805138493,-7.884269223932239,-12.089448497786037,-21.169967925295406,-13.853832583715954,-4.860404595318885,-14.829543988603104,-8.25486684008124,-15.880319099024828
Oil & Gas,-4.62752062528668,-2.151921738764368,-4.116837327811296,-16.276878605877414,-13.03702706357755,-4.879067796114992,1.4374659862013848,-7.92198848343042,-23.197832945476186,-13.502292748705315,2.8267690441191426,12.932055690056771,4.527606302144524,-6.58739385034071,-1.7684266838001128,-9.80954253869188,-8.035554608634753,-3.849858784065991,-2.038737629805967,-2.7736037431792586,-3.9753838442457643,-5.357829359850624
Consumer Goods,-6.5135202727662,0.8074174764626026,-10.340650351172966,-24.89982526058808,-11.488636889932206,-9.830068641433513,-7.542078430548942,-10.398542895707678,-31.696127624902477,-20.826939303605037,5.0850489698161985,-4.024479414388724,2.472112547384694,-9.529167636604408,-3.935607305576255,-22.33627364516306,-11.263821747835529,-12.956886437869729,-11.710929487374663,-7.029867788423759,-0.17949447696476922,-13.327405643908238
