,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.353672812205332e-14,1.8682833058392134e-12,0.033322259040245106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basic Materials,0.005452216336784499,2.454529259843241e-07,0.014309092601468398,0.0002997631167580561,0.021237327143301954,5.59064713174795e-05,0.0014541238842467052,0.0008223553281627716,0.007637720188172992,0.15728995535800916,0.4226824020266797,0.6007016902332807,0.030611262917219273,3.4394314768482204e-05,0.014673431295926687,0.00024997243662716606,0.04410944250306503,0.00015757990700060454,0.014339269460656556,0.17862087808252314,0.39290376155956164,0.008697134460099676
Financials,3.82174528490431e-06,2.5923708850683624e-06,0.00032177035427616296,0.00010579254515974412,7.614148751722283e-06,8.07171853911548e-06,4.796134549289732e-06,6.371255561576916e-06,0.00502150148701741,0.003672174020376673,0.00260775482144715,0.1256765460925966,9.333743110273574e-05,2.6495006855142833e-08,1.8816784295161426e-06,0.0053377133961578505,0.0017669641304580708,5.128666709097729e-07,0.004690178801967981,3.481151353823542e-05,0.1129852552876962,0.0010752579199713175
Consumer Services,2.659974220886596e-06,4.0731628381251994e-07,0.0022649148695645938,1.4556778868968223e-05,7.605043323977156e-07,2.552219541707146e-06,5.1751102645436475e-06,0.00028202174026126237,0.0024721576780175614,0.004285359026447555,2.455085070929286e-05,0.029092330715421166,1.554107953438688e-10,1.3801921228129288e-07,6.246731788883686e-05,0.000512397418835242,1.4605993394756212e-06,3.56907858289901e-06,4.7988401707943495e-06,0.012792182334120383,0.26388057466474946,2.7829509994026225e-05
Health Care,1.3700152123874432e-12,1.156301721039199e-10,1.2523315717771766e-13,0.0,0.0,1.3892901495893284e-08,4.773959005888173e-14,1.3823588940198306e-09,8.362530574679283e-07,0.0,7.45903316889951e-09,9.417204587247596e-07,9.586553773033302e-11,1.536544891322933e-09,0.0,0.0,2.220446049250313e-16,1.3327783321415154e-11,1.6709300609818456e-11,8.881784197001252e-16,3.064215547965432e-14,1.7763568394002505e-15
Utilities,1.9843688914278346e-09,3.534696313423069e-09,7.05635549991257e-12,2.220446049250313e-15,1.4988010832439613e-13,7.132152202160569e-09,2.220446049250313e-16,2.0523196475608074e-09,3.1770708890377364e-06,0.0004533917490021633,1.5173645664390278e-06,0.0008638905917484063,1.7859047574120268e-12,1.3522516439934407e-13,2.2160051571518125e-13,0.0,1.70121694509362e-11,3.9057148626397975e-09,1.2845058350308136e-11,1.1102230246251565e-15,3.860224584428806e-09,2.7615687514526144e-12
Oil & Gas,4.952289922588449e-06,3.144313269753951e-07,0.00014099829914160367,0.0004418823183367504,5.775755971715313e-06,0.000255699517824004,8.049941722165777e-05,2.3592440492326006e-06,0.8879296321476335,0.9486163687216727,0.16932808132648836,0.0033232894303236726,0.005980322943260896,0.0012385736212483511,0.00017615645069457564,0.0003405492261070453,0.04227643315009355,2.832132176688873e-05,0.003308138772548652,0.004864095659425471,0.11576214867968826,8.230863759406404e-05
Consumer Goods,1.2802137128176128e-10,5.755396159656812e-13,3.886498569860564e-06,2.2729652024988667e-06,2.4069635173873394e-13,4.9649173661237e-12,2.1518342663284784e-12,8.395617534517896e-11,2.1466277644321963e-08,1.514465370888729e-07,5.022045428404454e-07,0.3745096532764831,2.159067813423121e-09,3.970379580664485e-12,6.52811138479592e-14,1.7936097052029254e-11,9.015671110823575e-05,1.6041390438203962e-10,3.076224075249101e-06,3.641372536833387e-09,8.259113850672684e-05,3.027023076640489e-11
