,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,0.004358806665013759,0.03577674869056313,0.670362287088162,0.5666482415473972,0.31859298932893654,0.32319443239735435,0.9089186056945213,0.4673197787394767,0.009654919529108685,3.7157893495454175e-06,3.804594195244704e-09,2.8888003100746573e-13,0.04765469552785584,0.13338393686868555,0.053682142232492014,0.7173554228896588,0.3591324948917922,0.3212931336525231,0.02658672489344882,0.9430648696576123,0.23233179278857596,0.010830068440124352
Basic Materials,0.7862882266154765,0.30457263574689897,0.7851456783806379,0.0008776160395569388,0.5996128412992972,0.9300625243693958,0.012562068206749988,0.5086923035648561,0.00013343098650930862,8.10350897495482e-09,2.220446049250313e-16,0.0,0.006180377615847554,0.3979998581787485,0.8091990164916851,0.02433709947966589,0.43352042613621444,0.44578920668315725,0.05852750872944812,0.0569251416035379,0.242296762718881,0.26381481318355604
Financials,0.19638402291219914,0.0025068438591748787,0.2078655153295368,0.03519889049283953,0.806550429631381,0.19319202364011834,0.1425277544146939,0.024929470960703526,0.8772358120284183,0.00010821555482931622,2.6366908656427768e-11,3.892237643299268e-10,0.01665213404966548,0.7069208886233409,0.2997384635563909,0.20535846457202833,0.7693525151025105,0.36577226582103384,0.22776722842970587,0.2748211322069607,0.3908703214847169,0.706222363750098
Consumer Services,0.6736609136705698,0.02498269346583193,0.6178714857886507,0.005275456277139545,0.018183291351239417,0.2732553691796795,0.06174774454154841,0.5008386457504594,0.00659728225793188,9.089723962474316e-05,6.668721996594407e-05,1.49051215814211e-10,0.35980911173937846,0.7562539904444154,0.21622593928498746,0.023796806683761274,0.5928121456869715,0.3398131559064961,0.7314826321255861,0.047528583209448305,0.8069013713007349,0.31805984065205806
Health Care,0.024688721358824495,0.080371474994827,0.942078951391059,0.47905106895920513,0.01623476992826145,0.001795922473369016,0.062107407958826855,0.3884971109641371,0.03037020609755925,0.9879927879693557,0.008193849844671641,3.648001900558029e-10,0.29089600922217995,0.36753791716792716,0.053439198615314654,0.20009756821761138,0.11066582698459215,0.08166547751926201,0.0859914500620027,0.3146985016792705,0.15443906933332507,7.218273657061403e-05
Utilities,0.49652375326356424,0.006332965333281093,0.5391381406860849,0.3620934067217041,0.37465361484308346,0.07762126790911439,0.10910417387604898,0.564665587224455,0.1867232446986007,8.977294431833371e-05,0.004625734225438771,3.980881346787868e-07,0.5126144020352139,0.6772121089712626,0.14378219661121783,0.0005479058891926236,0.058375642594832966,0.28896274887942885,0.10320899253541271,0.35652175687358234,0.63786597438077,0.007201469667342142
Oil & Gas,0.0025855576149313997,0.770700052228694,0.320376809367271,0.01105041116769967,0.9323561372815523,0.261757347963254,0.7398099207540798,0.6687119844873157,0.30752384337770833,0.0006557488324667737,4.955488019930954e-09,6.446320400410599e-05,0.017528758208602335,0.019250891793416436,0.8215345226352719,0.6489007315313255,0.9721955007078531,0.004849235460245183,0.021871834627518405,0.19221990269678058,0.6733161007350248,0.3122741121944588
Consumer Goods,0.7800745341575175,0.11502043753804791,0.017481877595947548,0.0796100386166172,0.0036356683117790833,0.1204057723167844,0.26967867037969695,0.4760351424802156,0.8721603288050168,0.010795182454457208,0.0027095927220412985,5.871294917181302e-05,0.01554037004643627,0.6757440314041276,0.023982307579337725,0.006144952825250849,0.36237044421402387,0.05230913204407028,0.45654739621834306,0.36429116919804416,0.3885449873811262,0.0791834976289052
