,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-5.627836654331173,-5.953832325498674,-3.341596546262288,-3.6249699228941816,-5.119893304360794,-4.997918648208543,-3.9074085066148623,-3.0671424584816216,-3.500264536626065,-2.6280088587409955,-2.1199001908574497,-0.01219209173438542,-2.8963788870598335,-3.6075827945826786,-2.580936477803364,-4.0742379312041175,-4.221840157311503,-3.613756686686544,-1.7527179629733836,-3.529070014013206,-4.481581371669931,-5.421017738548026
Basic Materials,-2.647310757457952,-2.2335152352386665,-0.4222671069660225,-1.7799949334084613,-1.8102231228128933,-2.2278245231732425,-3.366361719840318,-1.8580453521466056,-2.320243748422857,-0.7391353679341985,0.24836132603311833,5.7799722134120115,-3.025743934029915,-2.165175134995324,-2.662394249896154,-2.159854574891798,-1.4381194983107577,-2.1764203415196897,2.161329514055363,-1.9974722197281212,-1.6461961802464644,-2.356222780266851
Financials,-2.3904840630903177,-2.0597447516660288,-2.2999248478449865,-2.5163468570873584,-2.828272106905136,-2.6646387810297867,-3.8152827344670963,-2.891272645953881,-2.1062171349908607,-1.720742614751571,-0.6888446369906233,0.4207649526876284,-2.0732476081967404,-2.9270701797552148,-2.6460705257080432,-2.8303189318116595,-2.5449135634722735,-2.7493435819714183,-1.8576471599787854,-2.1293661032837092,-1.681326286968682,-3.135473051082611
Consumer Services,-3.0365498969772236,-3.46501454967691,-2.880772355667785,-3.283424992809715,-2.691642548884084,-2.812190614051381,-3.020242410908131,-2.701518766936021,-1.0922804384610092,-1.5982151526958128,-3.239281406290301,0.8436005462568684,-2.899010288249969,-3.7824734879880144,-2.927702423539314,-3.1600166582375144,-2.895331070985279,-3.3759084182052823,-2.249241363992998,-2.530935887391008,-2.138145640285087,-3.8583317679332763
Health Care,-3.62401045163958,-4.563648213720822,-3.5869392655945314,-3.2842504939182127,-4.433395199206639,-3.14129403229436,-3.408549481010008,-4.726803709463513,-3.4162745351286006,-3.8704294476235837,-2.2816445867736017,-1.8242117402336295,-2.715537149442918,-3.6373152366365282,-3.3768699984793016,-5.02509646123436,-4.021875393226323,-3.884107464138598,-2.1763269318637555,-4.0502841337448325,-4.206206843006301,-5.61029469614863
Utilities,-2.9722759541204646,-5.016197865967856,-4.193024466184646,-2.6216943386950784,-3.2349552059689026,-3.7405486022967867,-4.223745767912461,-2.8640261910034805,-4.677283754827242,-3.7397714776426767,-2.8719229393881123,-0.7694229285920905,-3.549357032195721,-2.1419724367044006,-5.093169149905192,-4.948531175774768,-5.247918162402326,-3.5995228803136645,-4.602952690567786,-4.923483071245439,-3.0297467729464853,-6.654066543274922
Oil & Gas,-2.401076030884985,-3.651678925696645,-0.462908561944828,-2.6495650879616375,-1.8361721099205277,-0.946767561575642,-0.8729332999031113,0.48181836616485163,0.18167728355092633,-1.5382987026913817,1.6869679894384084,6.711093357082819,1.2335785366903322,-1.3530728083135626,-2.871158728711086,0.07801450328764416,-0.335292352837128,-3.0103187406150713,2.054404604246999,-0.18731628731221275,-1.3427796587747107,-2.431023842083842
Consumer Goods,-3.3226597535628732,-5.317621343428579,-2.4564766300612684,-3.011962531071969,-4.576231475163368,-3.8376122801696995,-2.833065301347708,-3.5349220464099274,-3.0594612725913013,-1.8312176202798698,-2.303760963350434,-0.4209224801686352,-3.3106893093168823,-3.444800717208584,-3.328950539004112,-2.208826493328644,-2.457122032440216,-3.97546304497623,-3.5318750062312114,-3.5550005856067473,-2.7974221564083175,-3.9178481633319704
