,"J-S div (O-AR, 0)","J-S div (O-PR, 0)","J-S div (O-AR, 1)","J-S div (O-PR, 1)","Pearson (O-AR, 0)","Pearson (O-PR, 0)","Pearson (O-AR, 1)","Pearson (O-PR, 1)","Spearman (O-AR, 0)","p-value (O-AR, 0)","Spearman (O-PR, 0)","p-value (O-PR, 0)","Spearman (O-AR, 1)","p-value (O-AR, 1)","Spearman (O-PR, 1)","p-value (O-PR, 1)","RBO (O-AR, 0, red)","RBO (O-PR, 0, red)","RBO (O-AR, 1, red)","RBO (O-PR, 1, red)","RBO (O-AR, 0, syn)","RBO (O-PR, 0, syn)","RBO (O-AR, 1, syn)","RBO (O-PR, 1, syn)"
100307,0.05626440466554829,0.06016592456625873,0.028092057481054138,0.007994066810338492,0.8128419492226249,0.8124849452672667,0.7737812575455364,0.7937555856318429,0.7737773780550949,0.0,0.7550014505840578,0.0,0.7280795898591835,0.0,0.7653594428063777,0.0,0.7951079317143316,0.7947243361257981,0.7736366962195583,0.7823617801357987,0.7133398598008202,0.708227880623469,0.7119003573634402,0.7355013723747142
100408,0.009452299819090734,0.0415396067608147,0.06417913066354872,0.0398474272934056,0.8932808338226473,0.8872846380760832,0.7798532892781292,0.7737099893000293,0.901690051363602,0.0,0.902816153584646,0.0,0.7445401697496068,0.0,0.7460037612321503,0.0,0.8299338068029821,0.8230092506621027,0.777906159274081,0.7762335795945442,0.8133912973776427,0.8173563337015783,0.7160029409680289,0.717214469999665
101107,0.014521371547568631,0.02100557891815668,0.008950328515302204,0.007577117505686366,0.6179490625896272,0.710192027856122,0.733062939842824,0.7224853427043321,0.6271284048291361,0.0,0.726365153630606,0.0,0.7268298370411934,0.0,0.7175294690851788,0.0,0.68625462850772,0.7258134933790447,0.7163541038400691,0.711925514172207,0.7044236895239038,0.7434015038422581,0.7651668200278086,0.7619377591562365
101309,0.03453006329255618,0.010268696160797054,0.04972133440113922,0.02250531550674692,0.8046396288939817,0.8417003032807161,0.7890566213395253,0.8256919268942139,0.7999852956794118,0.0,0.8450516884900674,0.0,0.6930111209044448,0.0,0.7483317324292692,0.0,0.791665952115479,0.8093254705208653,0.7780778169186329,0.7989954225111408,0.7509517649477968,0.7833714009180583,0.6800772214476593,0.7098329742358406
101915,0.01922867997542079,0.002610307377608588,1.6691241880473668,2.1572505166372102,0.8507835090062185,0.8598941587823123,0.6938083434621461,0.6847563380264492,0.8516964554758581,0.0,0.8541921832236873,0.0,0.602799574767983,0.0,0.5878859311634372,0.0,0.8118207130573426,0.8189007607547852,0.735395433710007,0.7356256678664813,0.7985444805070567,0.8002262940741665,0.6553096960756271,0.6456399465391434
103111,3.8348854808544317,0.0819707214104589,0.027994348437958182,0.005949263093778971,0.6910154443211851,0.7343666287671893,0.6613016512032192,0.679357952982386,0.560222328616893,0.0,0.6544889206755566,0.0,0.4227563298382532,5.4426019244050754e-216,0.4330157383126295,1.1500829695690752e-227,0.7329698992038383,0.7556790979558274,0.7023635737727525,0.7091189211990362,0.6282007201285005,0.662777768170641,0.6044746697547452,0.6087049301776086
103414,0.11167809256863268,0.31298477728277957,1.780046083801144,0.6447011733038552,0.5982585990779693,0.650324294362296,0.6708451157187431,0.7017686038471649,0.4451460447818417,5.316655562209565e-242,0.48473911852556467,4.746358212465247e-293,0.5500456332658252,0.0,0.5912445073297802,0.0,0.696018440050345,0.7118954366093104,0.7277858326832464,0.7423856781874816,0.6073946481932305,0.619200936598261,0.6294582927627459,0.6411317816778447
103818,0.00177705150104258,0.021248247286807315,0.17486820278258017,0.010872064338662484,0.8350545819378642,0.857148064042497,0.7025049546810338,0.7485581002914244,0.8383703320628131,0.0,0.8649720844228833,0.0,0.6540594480503779,0.0,0.7030720163468807,0.0,0.80169617725406,0.8152165165930474,0.7415187280392735,0.7656188187319884,0.7766781046144514,0.7866824813849256,0.6761702891633752,0.696994633762443
105014,1.5451180701724734,1.6716151355202118,2.5186440825398675,0.041747719663080184,0.7251988341513609,0.7379895995491459,0.6655540300955658,0.7161911001575784,0.6236030941281236,0.0,0.638236977305479,0.0,0.5098799345711973,0.0,0.5290705409708216,0.0,0.7519615733709637,0.7599118293687682,0.7182589353279261,0.7360085901326247,0.6629075546858633,0.6696338115166669,0.6247731243081038,0.6332775005843074
105115,0.04847471545216594,0.02953653839329365,0.16350164028292177,0.07139367849581603,0.7665337054737157,0.8082480262917064,0.699743845780403,0.7401186116015408,0.7218715338028612,0.0,0.7753787650631505,0.0,0.6286142052405681,0.0,0.6573634865185394,0.0,0.7690825722181589,0.791194151716296,0.7386803616251547,0.7579186381241159,0.7048637243317832,0.7186600582501824,0.6567634269986063,0.671757680742701
