,2000_2001_2002,2003_2004_2005,2006_2007_2008,2009_2010_2011,2012_2013_2014,2015_2016_2017,2018_2019_2020
Industrials,-0.004129337845085275,-0.0028602798299440253,-0.0022499727845085647,0.0006401708350451793,-0.001249560101400728,-0.003451441296332011,-0.001853148789949174
Basic Materials,-0.0030561707041009516,-0.00026226823302905836,-0.0006152121955750291,-0.0009163206348372167,-0.0017781580179857092,-0.0027627599308845826,-0.0007824028087145202
Financials,-0.004523577829540784,-0.0034181737923103432,-0.0024437677628213203,-0.0027935766227306378,-0.002287286798948905,-0.002704651246443606,-0.0017318024594122588
Consumer Services,-0.003157204154364097,-0.0034686512157399217,-0.0029981756642216187,-0.0035511840614254084,-0.0017121648302468539,-0.0034970843520012516,-0.0026952635394977293
Health Care,-0.003345575922360168,-0.002402322814980375,-0.003924372287110343,-0.0022335404719868025,-0.0028449847899369805,-0.0025014227372260065,-0.0036281380277530012
Utilities,-0.0026815614304520714,-0.0012766004716683575,-0.0023333495158271863,-0.0014584043450476005,-0.00017333186295923143,-0.0022929796633958045,-0.0034225932231628318
Oil & Gas,-0.00314746952761255,-0.0024774061845975305,-0.0018176676236556974,-0.001113694833345602,-0.002809992770259532,-0.0027468089968588944,-0.002538535072396932
Consumer Goods,-0.002218026328839086,-0.0024770801745666957,-0.0020886860753698945,-0.0030057453511961193,-0.003195124893962006,-0.004145216835002781,-0.003913253031969369
