,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Industrials,-0.025348325674482346,-0.02845322545562612,-0.03584471625048765,-0.02651905368923302,-0.03478807346640944,-0.027567668745163847,-0.03110421874394546,-0.03083335152613916,-0.03851169936293134,-0.023451198604526862,-0.03863517278469749,-0.02827098375885177,-0.012992062228789089,-0.02549718560603294,-0.026417419331924836,-0.02483137354917368,-0.027321827562756584,-0.033405616853113385,-0.02714746732075664,-0.02828135375238805,-0.028595666329564968
Basic Materials,-0.027567771789801927,-0.03100203101681931,-0.023638302697842506,-0.027823128225574718,-0.01902741087546737,-0.02823368249208343,-0.02040496686697361,-0.029375389167056804,-0.029312094492599045,-0.023132099467044087,-0.02461993067758898,-0.029571365997913473,-0.024152153877027332,-0.031762575161578134,-0.032919082594249395,-0.025570788698445906,-0.021544075402219365,-0.03985436853606217,-0.015690315570792257,-0.032411832093769445,-0.020066229455050544
Financials,-0.034096451096803225,-0.028125422980455655,-0.022328684661413616,-0.044156527105524125,-0.024298520461552786,-0.02657961340616899,-0.04181617792929204,-0.020415117922181425,-0.02378749872216938,-0.029403679487571093,-0.031077160639477557,-0.02684257015863904,-0.03647387526378021,-0.030378288123612058,-0.035950324935796384,-0.041363236045548035,-0.026008887753512917,-0.03256685008685586,-0.03123394828151027,-0.03551125668256342,-0.02480240054701081
Consumer Services,-0.025752400065597463,-0.03146481784847307,-0.031735192355764975,-0.028714106080197827,-0.027045637582018427,-0.03257891727109737,-0.025462032578045246,-0.028574085005320177,-0.024437648698050058,-0.02630956907257746,-0.028246763335895042,-0.03715396086262061,-0.032369696616266284,-0.028220279339684,-0.02981686892960093,-0.03390204642516418,-0.022664399919127203,-0.022892489241729746,-0.02693802024765879,-0.03625509689603471,-0.030125264451248968
Health Care,-0.02912445647731284,-0.03127938060025023,-0.02511519851705409,-0.03217794720744486,-0.030918473087146903,-0.029171089391536082,-0.028759987731720393,-0.03458024486544805,-0.04635712982078547,-0.02308600997970578,-0.02148782356269759,-0.026639419047976547,-0.02761206914409527,-0.02555819100231697,-0.023450231608965977,-0.030631495360255372,-0.04433175858303162,-0.030171772761773113,-0.025871978054656092,-0.02996818018525238,-0.03857224551504116
Utilities,-0.02701543204380145,-0.03473701667850541,-0.024963397085383903,-0.031507015931555325,-0.021666399544015686,-0.027099536231049066,-0.02220683562212633,-0.03271728593416767,-0.032364154326422666,-0.033883297358142404,-0.03383104730669569,-0.03902701502918108,-0.0267262231991869,-0.03124231078152277,-0.02747734659206909,-0.04290980285049343,-0.028878161460810053,-0.034664618130489454,-0.025955897343376333,-0.03533611574669989,-0.019589607117488545
Oil & Gas,-0.031702032880396115,-0.021122100699482615,-0.016767680102115306,-0.020729217988469013,-0.022342446751219547,-0.01785330195635652,-0.027370678643994267,-0.02773688178482751,-0.024840609958769466,-0.040811932401615326,-0.03919221868133175,-0.01571747056805865,-0.02511073116785741,-0.029617221606611732,-0.02417817207432908,-0.02910409113817451,-0.020962543712580033,-0.021342965081055116,-0.026450911835530055,-0.03217874497142181,-0.03135194860492289
Consumer Goods,-0.03318676699723514,-0.025899589253924882,-0.02141192179365492,-0.031359386704054436,-0.026347622171656537,-0.03506119599859373,-0.027485818470182794,-0.03175114866046247,-0.026056485110069045,-0.035689932007940094,-0.042604916426321394,-0.024177980040191227,-0.035167106724360596,-0.02575764068768205,-0.026539852584326562,-0.02980187297938064,-0.03119386964659443,-0.027048150698852098,-0.03798684293106669,-0.03912276957660876,-0.029690371719201896
