,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
Industrials,0.011391612996411556,0.012935810398365616,0.007050281766077797,0.005468543825169513,0.004509333183204566,0.005093669375537897,0.012586112053533625,0.006754016923795424
Basic Materials,0.012935810398365633,0.017359138898134056,0.008103459525222973,0.006075831331063008,0.004919040234427122,0.0056150690289033045,0.018569769998735636,0.0076449285620191305
Financials,0.007050281766077805,0.008103459525222978,0.005449176340320369,0.00381750411096554,0.0030408329138959,0.004178604313755969,0.007785636619026376,0.004572989090432006
Consumer Services,0.0054685438251695145,0.006075831331062994,0.0038175041109655243,0.0035340677099875476,0.0024284451920706693,0.0026741737809932477,0.005497278669955106,0.003690804829995783
Health Care,0.004509333183204582,0.0049190402344271396,0.0030408329138958976,0.002428445192070674,0.0028643744578964324,0.002696470588580735,0.004514497943142036,0.0027927561223257853
Utilities,0.005093669375537916,0.005615069028903325,0.004178604313755948,0.0026741737809932663,0.0026964705885807717,0.006698218874957657,0.007205839608466703,0.0034769540840176695
Oil & Gas,0.012586112053533625,0.018569769998735636,0.007785636619026376,0.005497278669955106,0.004514497943142036,0.007205839608466703,0.0348923201619052,0.006885234652125778
Consumer Goods,0.006754016923795415,0.007644928562019109,0.004572989090432001,0.003690804829995783,0.0027927561223258014,0.0034769540840176826,0.006885234652125778,0.004651127766794387
