,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-1.0638878770106934,-2.755342242804345,-3.0750833946812883,-3.8537019553224843,0.6979397804594121,-2.6737303136478388,-2.055690483217568,1.2599328070537312,-5.394449457344371,-5.550598857481369,0.77740470176259,0.1044643346476193,-1.4860507888788952,-2.6935375748631416,-1.147371519438429,-0.9061347713996182,-2.10988080284796,-4.658230410890814,-3.647577186017166,-3.751612031538021,-0.2551512298047519,-5.190979398343762
Basic Materials,-3.771801551521334,-1.8738116996833876,-5.037026895357818,-4.936245425429403,-1.1074177340965992,-1.6204047314133394,-1.650436748610439,-0.09795391383019991,-8.107405172526402,-6.39397174714327,3.997468590799159,1.5412963229998329,-0.11675523764501335,-0.1834050498626614,-1.7569104899817638,-3.093574725282577,-2.464560803843785,-3.904657702835934,-3.5213571912971773,-4.032432538344733,0.241606580355985,-4.499098139417641
Financials,-3.700507337273021,-3.9185004972478845,-4.009045160664235,-5.461656932413937,-2.1437927971987016,-1.3591448818994922,-4.430452861385264,-0.4502958421130495,-6.658852088942014,-3.2528972458050265,0.8144090998078409,-0.9876051220523981,-1.008594242836247,-0.6127286093554688,-1.3647079298633926,-2.4342011139174082,-3.1383465503901977,-4.648173406441516,-3.800904707097314,-4.047690986302797,0.9414755127525279,-5.740807831556201
Consumer Services,-2.310781326479685,-0.4055846244873655,-4.0433168363653165,-5.212748040017329,-1.9738956181283138,-2.120233065347622,-2.3247390469359304,0.3360986596223587,-5.295534957202243,-2.2158929822209408,0.19184762536872282,1.5052521762390911,-1.9817908692873338,-2.457849914665287,-5.014114590657954,-3.115493103308372,-0.8825487601138714,-4.9552305014045634,-4.100934249466417,-3.163610153917446,-1.8944280240992362,-5.763454403238268
Health Care,-2.5979151432278216,-0.30492772414273417,-4.870467379354079,-3.6305985186541823,-2.1691522353051207,-1.9314410065675898,-2.9186435496881153,1.8068266205203432,-3.844992198599856,-3.708802159558532,2.4313364523945884,-0.02777917394061132,-0.6947270617482364,-2.674912596439197,0.0923100012303834,-1.287603841929397,-3.7256504828443178,-4.434838527773494,-2.6891258707112957,-2.77787434960967,0.32880725036505964,-2.5088520824473144
Utilities,-3.2651590194349875,-4.685596120391738,-7.051318867697966,-7.567141694270799,-0.392907204161614,-3.908298401450179,-3.5767021315661087,2.8966154883135875,-6.427718294181489,-5.9484531963947225,-0.964166864101564,0.9411683928015766,-3.0911906141028207,-1.2213863004070697,0.6840703529813686,-0.032470998468519495,-4.229124355304465,-4.495165095998778,-3.442940296118337,-3.958354863386863,3.915958300479944,-7.129184524348267
Oil & Gas,-1.7541067977040685,-4.132152472311621,-3.5236487753731316,-5.3525410861499125,-2.4126891935504435,-4.4091439293300985,-3.1900491961719473,-0.05457954437585309,-6.140036077287279,-5.77607065758232,2.3389307022351997,-0.011877942609085949,-3.7677154011152187,-3.5662385589028425,-1.4991008394799084,-4.723976105350066,-3.163321533220288,-4.784723988824816,-2.059896690817559,-3.750733395293791,-0.5793630200578017,-2.212042416959007
Consumer Goods,-2.2260933547675896,-0.9954286221851877,-6.034584345917407,-4.600985518432707,-1.6872805966513578,-4.608676902867517,-4.744229400478745,0.5975127622886773,-5.2372274871500775,-6.000453869853138,4.10771219577631,0.9774355514799716,-1.0505045616410642,1.8273860594778935,0.4438133552077797,-2.264102083482534,-1.9912723609616825,-4.19521115223977,-2.6103864280329354,-3.1766055571777536,-0.6749630198620113,-2.897348700611436
