,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,0.015390407736792743,0.012552248002971528,0.01866061715094634,0.03371447254393037,0.023505009292048847,0.03253862239216549,0.011771878845468903,0.02682507178727015,0.0719976345799808,0.10349121843978146,0.03628761413618963,0.04818941577202924,0.009313123533257642,0.04435201678844827,0.008409388654474962,0.022213006278916213,0.03850797497539651,0.03849863207563694,0.005759161760530957,0.01261711657974,0.04045566592753186,0.058248016113632395
Basic Materials,0.028040839092231647,0.009476589087414158,0.03930068242573267,0.0788080672964655,0.042706277269395285,0.025347449484441953,-0.001422836579889137,0.022296677041705928,0.08738943037691574,0.12209081313464562,0.013913022317503985,0.046681674646512454,-0.0009590174597619682,0.030745609393599153,0.01789538635619873,0.03428659306703569,0.04653233596860439,0.03720670958731356,0.019046777528628964,0.03131844041155957,0.048212874810624605,0.031873864259916104
Financials,0.03248910712435599,0.015124071540460233,0.0114378831971475,0.04841040024601804,0.018172102732255346,0.03448637234332261,0.023737401505366393,0.04922207003255541,0.08099742684956797,0.10095935115849373,0.034365491163492856,0.013522328715531787,0.021463811063823383,0.051809418912785975,0.014776857507524983,0.02459825490885207,0.0472152039396144,0.03606803129168266,0.006437313851603615,0.02030093869499441,0.05528462550131286,0.06085522148889516
Consumer Services,0.017086062339892828,0.01329683266376482,0.026994872810650904,0.03337377306576488,0.025381067428374454,0.02640032338846136,0.011964913524552192,0.02775527073098663,0.06884805016143525,0.05355902307492412,0.019418825949496267,0.008756467769416907,0.014314619269271705,0.03262838075750008,0.017593720013969718,0.009517417947246181,0.017988255696755644,0.030845909175204078,0.006453294715757453,0.029882019297292547,0.04370420484147836,0.07683771967765667
Health Care,0.036852345864315676,0.010450192197255648,0.02199901407759448,0.0529323564706194,0.022500813958963375,0.007066597649354492,0.014313326047056396,0.01850234073624817,0.024280604343956062,0.0408866973405385,0.0026711462423847873,0.02173202635908714,0.008529156270618924,0.053704022253114034,0.013433076991463436,0.004367335262822625,0.03509402990612442,0.04183120245774226,-0.001016078770874123,0.020282489806741757,0.0267262241439407,0.013565876116857601
Utilities,0.037418201507522474,0.0240174915520463,0.027242745708273768,0.047490023035016336,0.017467483948624483,0.04756118338681254,0.03359070107839821,0.009460660752502318,0.07531266982240219,0.06388683531344425,0.040221734312614534,0.009923517110280826,0.007065346685746254,0.015054356638108597,0.01962845263430132,0.026072729471962472,0.020361536375873842,0.023375048424031687,0.000731071545045208,0.040164630525730924,0.03229846342047874,0.01448252931447626
Oil & Gas,0.012945026295275604,0.01944805737144608,0.025913905966090965,0.062498465880338805,0.05768214122687818,0.06904646744616681,-0.00910959441972361,0.05439990640043546,0.09962359362500985,0.12190470859250573,0.036071012545929086,0.027282756845156467,0.01516663961441679,0.038487832837527235,0.019791769715989067,0.03437691307739782,0.03562619869290705,0.03715143204028852,0.018911781827413838,0.03322270362588501,0.07372946795065623,0.03693536904564727
Consumer Goods,0.011624901156469988,0.0008178138250762222,0.02303550702212807,0.052525501073727596,0.026161867147585716,0.024079313193311018,0.013804510830266395,0.021604336334036814,0.06064829537382367,0.10741670166646755,-0.005459821853570527,0.018323647066543457,0.003469107564297959,0.033357179096831564,0.004785973383444115,0.022554830773615572,0.018217918345243278,0.019381048324727607,0.013739579175513578,0.014881300598094683,0.03025430775570905,0.03919552594403314
