,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-0.002217692789279235,-0.0008705324586868012,0.0026837899863221396,0.007262771296203661,0.005287139421447064,0.002848892974187013,0.002629500744408743,0.01025774506104239,0.01635098131679669,0.02747819427540148,0.018037980450548625,0.0320670501170613,0.011445215092184631,0.004756518277375526,0.009095501787921283,0.0023052770581629594,0.009088203197757582,-0.001300867985619084,0.003811696412184963,0.0012650709473159415,0.026683121267823955,0.0022345411258788733
Basic Materials,-0.002902122079941519,0.0015205379193531472,0.006463440400772517,0.009431101026696892,0.0036577122567036124,0.0019446957785555163,0.0008211783113576018,0.011005312328259948,0.013792684342512723,0.023492444844567535,0.01847780408810436,0.02466259298058423,0.008227570542716472,0.008474048982061286,0.003575111536748204,-0.0017848113575241647,0.008581032782973333,-0.0012753487898520012,0.0011393335275207456,-0.0006250401530060845,0.02266646231553839,-0.0024796959661911025
Financials,-0.00015657495394309098,-0.00044331440463563077,0.004201996915880971,0.005245168278673302,0.0027963834928173194,0.0037800803843906256,0.0020364199909091774,0.010686313633284967,0.02262156999399717,0.023715645842591178,0.021223164662579723,0.022960597683767105,0.0063767217480197695,0.00910646903317687,0.005960269464224994,0.005194854078906205,0.008284598001084349,-0.0013336453051888241,0.0010267971721586364,0.0021026064468066177,0.018022904214121078,0.0021711841320885025
Consumer Services,-0.0033778661054167524,-0.0022922253144632763,0.0049652445499791375,0.00467886203861081,0.005299278289544558,0.0007219209528059942,0.0025476518801968327,0.012029126537642114,0.028532856744907947,0.020542918252289922,0.019711333391310364,0.02560945626365091,0.003829639029806918,0.00914153575546541,0.005526605273896872,0.0028493580564438593,0.007657137027473945,0.0006254615074855886,0.0013010561118436824,0.00401927189405163,0.022147935964505764,0.0008634431384691079
Health Care,-0.003458261698457221,-0.0026085014196676223,0.0012005066901975526,0.0015523723191206112,0.005029515676652345,-0.000965273969226851,-0.001194485969325067,0.004745995060547076,0.007591105332027169,0.009366247045769154,0.005943216423727676,0.021935164686891204,0.004206252328524521,0.004623331857084123,0.0031374166813256874,0.004994547641595279,0.0029059071547266756,-0.003867127485574974,0.0014780966492164284,0.0004946236296696137,0.0046627071225986095,-0.005812530697843529
Utilities,-0.002638118166344101,-0.0008933697986397362,0.000337069706845058,0.0009068798512037838,0.004029949964931369,0.0011370905352983828,-0.0016931813740820344,0.009510894567454268,0.007603698266972067,0.0083002947187673,0.013395787567095654,0.024365214279171044,0.003728672021092746,0.008162209164399276,-0.002508813759639266,-0.0012048369280105854,-0.00023605601830292778,-0.0023825879667830753,-0.004159535117281475,-0.003176676739755635,0.012824776279524925,-0.0061672093034452246
Oil & Gas,-0.0042826608363656215,-0.0022219558739296694,0.0020384998411990376,-4.2379602759469645e-05,-0.0017697541005187642,0.0009981473525419876,-0.003308409232670157,0.0013605715904814568,-0.001408511592870327,0.024201292227427163,0.01418804943313299,0.021215312930836776,0.007123288411758739,0.005234299808056577,0.0012853100546049616,-0.0027624252797451353,0.004428137467803252,-0.001309011641879078,-0.0022382935218441193,-0.0021419037974315294,0.011400180684704837,-0.0029583679136981136
Consumer Goods,-0.0030268231283888955,-0.004101065357192495,0.005943148738865116,0.004004357745503669,0.003425008225048184,0.0033058017399120146,-0.0002459499106372094,0.00594691778039855,0.013278691127116136,0.014058055948625586,0.015705979757734783,0.01738396682787653,0.0047069301428946525,0.005120652254827584,0.006681471920049477,0.006009077520611759,0.005446067112818933,-0.001295205214979145,0.0012717595441903396,0.00017618557012117898,0.009184976018747452,-0.002609585883706173
