,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-0.003070332887523072,-0.0014710776691984951,0.004738473690782533,-0.000893508270735894,0.0017534665005876082,0.0049520535558913005,0.0014867670900513934,0.0045883428929877415,0.007274028510141191,0.02603919746584155,0.020881006664931208,0.04042131634528378,0.004230153022615646,0.0038015850246276247,0.0029887338615906295,-0.000572127276068254,-0.0025799110890578434,-0.003163927335267295,-0.005740989823632077,-0.0030016209483035754,0.013687630915520886,-0.004986319990424943
Basic Materials,-0.0024697593456562686,0.004711944383965833,0.005754989142585958,0.0009424979870410942,0.007560646286514906,0.0051637268542602055,0.002614527539831224,0.00557362988427208,0.010290613665217574,0.023136153205215993,0.027720772876180928,0.03883569796758527,0.0022111669535189917,0.003062720678940949,0.0025169894403916323,-0.00358801251817642,-0.0015282902323025902,-0.002904824801243722,-0.002418203231895198,-0.0011853770258330597,0.006545934614166945,-0.008796305674798712
Financials,-0.002802490001999493,-0.0008969591706167306,0.0017601541279481342,0.0005435221033092257,-0.0003155363177290736,0.0014433841329951338,-0.0012276980366654794,0.004944200576850845,0.0034752016897440898,0.015967764631304615,0.021357388828750816,0.023308703942611565,0.0039929678070263624,0.008360695104856352,0.00441743670207366,-0.0034006717061742377,-0.0025580769455566467,-0.003272040611138933,-0.0035725752160064555,-0.0006548110147243895,0.0036742209771051726,-0.006354030048970501
Consumer Services,-0.00349727530824577,-0.0009811742583859433,0.0014331208123549695,-0.002195269711344786,-0.001164428447578387,0.00096366051038668,-0.0019187219381781315,0.0029265171121169078,0.0003064248652151174,0.01347154935210116,0.011725038045432169,0.02633934479627107,0.00166913916652793,0.0010542105241267054,2.2149843887029975e-05,-0.004248867932894416,-0.0015301718975730136,-0.002752982784226354,-0.0075021574678834305,-0.003455108236565588,0.0054602875759812135,-0.013462114578958712
Health Care,-0.0015098556965381553,-0.003819580635710253,0.0012634317514513224,0.0011625891265867581,8.370326041610937e-05,-0.0009563946485290322,-0.0008969907316657176,0.004323863978682655,-0.0016871660253027,0.012667394920878695,0.011583024564427242,0.017992822929374177,0.0017613344084082122,0.0030359357069718296,0.00016820727044794458,-0.004430725262243313,-0.004510611343340683,-0.0024394981734516563,-0.007602691194536629,-0.0025594254031234163,0.003662161806455552,-0.007050538423742163
Utilities,0.0006463905590106059,0.008547617302057477,0.011835891992514285,0.003908978556143403,0.007117612991599901,0.01185559392523928,0.007614771587132273,0.011486429031601325,0.009495608060489186,0.03192786473542176,0.03342637521974571,0.03667116218992902,0.012242944299099065,0.010640534079441138,0.006177294461485053,-0.0026931713575444644,-0.005596725433395802,-0.0025108577513880625,-0.001486371239630386,-0.003513702579057102,0.005167031034156614,-0.0024002520836890998
Oil & Gas,-3.4732288207584004e-05,0.010514142201148814,0.01528921201266123,0.004152091324528584,0.011168423155811132,0.018969378086804184,0.016250606302772936,0.006800521214257138,0.01628684934688546,0.024758616853019527,0.028667940492703967,0.03158982178242781,0.015300524787026834,0.005620730120714931,0.006124158194172408,-0.00011344288687491806,-0.0017515789172417267,-0.0015209760309882064,-0.005346989103108443,0.0009311355162635784,0.00784482769695002,-0.004622650479997452
Consumer Goods,-0.004836983508951612,-0.002820626326725893,0.0030493955132289076,0.003826094320332147,-0.00047780408557395024,-0.00025619210987542574,0.0009854028801941528,0.005864749617799741,0.000879649708019002,0.01361615164761091,0.016315224401300264,0.01869644723864662,0.003954466304640463,0.007520301906320422,7.597681082166043e-05,-0.0006465426163058563,-0.0029661806137114585,-0.0030439486727526673,-0.00386148608657135,-0.0016177804479006535,0.0033994607939763022,-0.005075798220239586
