,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
Industrials,1.1060667389285997e-05,1.3170150516179997e-05,2.9292523251697033e-06,1.136954402433019e-06,3.523618803859433e-07,7.868697136983083e-07,1.9882647010478864e-06,4.20363045876134e-06
Basic Materials,1.347352243657651e-05,5.329556774711733e-06,1.1735506545035989e-05,2.9722106148026534e-06,1.7750826942399944e-06,1.0852799383812937e-06,7.0999542779598245e-06,4.979657178634631e-06
Financials,3.5471191763809543e-06,1.0883366638055637e-05,3.4518119491668928e-06,8.391970850640039e-07,6.916104882812476e-07,5.910035963420718e-07,1.338890726171469e-06,3.237275894937576e-06
Consumer Services,1.0273103933869623e-06,2.8991902227591863e-06,2.2380490477172503e-06,1.1492771926229218e-06,4.092968147448922e-07,2.6217032659494307e-07,5.968592348976211e-07,1.1196594322424927e-06
Health Care,6.479516158522743e-07,1.7534502774641855e-06,7.722072631044957e-07,3.915052278141353e-07,7.04745438507342e-07,1.5161488529281741e-07,3.0031498711715356e-07,7.453551642550077e-07
Utilities,4.375349670235574e-07,1.0937374064242745e-06,3.0708385306869963e-07,2.3294322554598173e-07,1.3253674168527475e-07,5.143958462083387e-07,4.493283746326744e-07,4.556341169462643e-07
Oil & Gas,1.668928143802418e-06,6.552839957992576e-06,1.667717899579231e-06,4.0464184771090706e-07,2.9756569106283923e-07,5.724404939604984e-07,6.297209083378531e-06,1.3799223144248533e-06
Consumer Goods,3.7632016420558975e-06,4.682135293187831e-06,2.4544435562857734e-06,1.375150284566176e-06,4.4647561280004854e-07,3.231033703794431e-07,1.5026249469131166e-06,1.0314730236579641e-05
