,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
Industrials,0.025093126442887952,0.030502645504506765,0.012940102998691756,0.010345448930137918,0.010057377922296456,0.007563216769689721,0.012746967808209301,0.015305142232371326
Basic Materials,0.030502645504506765,0.03143491673646372,0.019500955457341058,0.015027549459637793,0.01133281569659682,0.00829807526205101,0.017015257892196742,0.013475193209788345
Financials,0.011911732622453623,0.019500955457341058,0.009654153369492352,0.0073724658746026454,0.00608275433780213,0.006075243804425184,0.009124366306165919,0.009147029764485464
Consumer Services,0.011085222235491684,0.015027549459637793,0.00723742532637324,0.008324070358709542,0.005461319859036674,0.00424150105384294,0.005937691000250947,0.007324842658263846
Health Care,0.008584468670197954,0.01133281569659682,0.006579085522261512,0.004891365017123115,0.0060252762693497885,0.004559954918252096,0.004417102246261871,0.005422889376416551
Utilities,0.007550773402728643,0.00829807526205101,0.005763782960142359,0.004504295789007922,0.004280432516797841,0.007973200282473985,0.005107875457780623,0.0058288653844744305
Oil & Gas,0.01450806291071322,0.017015257892196742,0.008944872952139742,0.006002927534352244,0.004467002988956028,0.006190932384165812,0.018568132269778288,0.007324761074339728
Consumer Goods,0.015588130002764076,0.013475193209788345,0.009201984131147827,0.006983347507778375,0.005890567654068889,0.005026991232386235,0.007606986361004266,0.0133587869194974
