,2000_2001_2002,2003_2004_2005,2006_2007_2008,2009_2010_2011,2012_2013_2014,2015_2016_2017,2018_2019_2020
Industrials,0.00028229746100271336,0.006096859992459544,0.0072108998672214064,0.01691673205569813,0.00572741007160754,-0.0002519695816504797,0.0016871411971787875
Basic Materials,-0.00010488426197387466,0.004327083160930594,0.007803359836134931,0.022442965571303736,0.00385057897618078,-0.0001234539263867962,0.0006161268811012517
Financials,-0.00030049623982279425,0.0029884042293207625,0.004992362228553476,0.01780997063298739,0.004619122139250401,-0.0003356282674763479,0.001218745411958398
Consumer Services,0.0006648686601212158,0.004683799962295376,0.005828404183546754,0.011682185089913982,0.0046749812305654,-0.0005298945816403158,0.000504143356337077
Health Care,-3.0396809566741415e-05,0.003182228016635413,0.0027761148912996904,0.014243884613498167,0.004505044048464711,-0.0005960142156910399,0.0007455783241399125
Utilities,0.0011102872092247727,0.00922137945824473,0.007914757427833794,0.022287765262537746,0.007136569445810866,0.0002555620325874879,0.003103554270462386
Oil & Gas,0.000551279500655236,0.0008311655477149468,0.0017934359798219366,0.017844064701357163,0.0038540124946957782,-0.00031238686472238517,-0.0003306064092977338
Consumer Goods,-0.0007647955632978677,0.005379344101528164,0.005281850332250932,0.016035352468031717,0.004207140105255793,-0.0002182645320507667,0.0002886599179064055
