,2000_2001_2002,2003_2004_2005,2006_2007_2008,2009_2010_2011,2012_2013_2014,2015_2016_2017,2018_2019_2020
Industrials,0.0003756350574993953,0.0036017746969937586,0.007363790140655199,0.019128340484019794,0.011832137031730415,0.003667770264627533,0.009255126724848552
Basic Materials,0.0003402551735146554,0.005171018254797647,0.005377695081906746,0.015748212815200904,0.008428345395714208,0.0010638250728742169,0.007847671281456328
Financials,0.0014870360496561461,0.0028624759079800745,0.009063559230864682,0.015898228698297923,0.008887382138780854,0.002186407019284025,0.006803778735698567
Consumer Services,0.0005191588959694738,0.003654580030121725,0.00567061644734819,0.012185960380910105,0.007929247317194178,0.002234025871647884,0.0024170229607702433
Health Care,0.0015510965189177764,0.004127012926855375,0.0054356448236889485,0.017920659816989877,0.012592546811571376,0.0037467988534434543,0.006701599690657023
Utilities,-9.247016798124643e-05,0.0023511682024596288,0.006327903833684197,0.018893847636255272,0.005763001634958125,0.0001501451457945256,0.0009198795348112299
Oil & Gas,-0.0003085434730612909,0.0012576183788704399,0.000599648309113895,0.013044427945402504,0.002737046048527584,1.3164372646753568e-05,0.002381035940727935
Consumer Goods,0.0007960552537072159,0.003946672078551692,0.005702462053010634,0.011197800322730078,0.009760551278454103,0.0029588244286783577,0.003531272997374435
