,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-2.4903196592854857,-1.879180652580981,-3.568309564653841,-4.859982348844687,-2.1957949267602026,-0.4063318126330592,-1.0763064768645336,0.808039808851861,-3.9449336022558588,-3.2211525094940114,0.08402996842099543,-0.2896939005296652,2.1646739769035164,-4.168637030667275,0.31246271143080384,2.507528424738894,-5.88852237466688,-5.7883871638555995,3.88739897599644,-1.3803986331345435,-1.9375947305377228,-2.983368560736846
Basic Materials,-3.351863151250056,2.7312961814590153,-3.9829871903179086,-4.195688629011531,-2.8845534763318508,-0.1738557921636602,-0.6514850494112324,-0.9944480486122725,-4.180479604120157,-3.9087227645225426,2.005065772275401,-0.9256584673670798,1.3455739576067107,-1.8350922827866696,1.1000739687162993,-1.2721353769899961,-6.654189626241354,-4.61932448308062,2.8402930336463688,-1.7206117751156003,-1.5028090281881081,-3.27973740010509
Financials,-3.9293680828039332,-0.41393090944326644,-3.2661780350935397,-6.535873523915963,-1.792466441686158,-1.8537734758422755,-2.2377232273894014,2.5229288352181647,-5.5505475632399905,-4.203741694737604,1.5628670542686018,-2.134660472543551,0.6891447299471433,-1.9881437899167602,-0.3216032759807482,-1.400649163251485,-5.421298474801808,-3.7999737173063477,1.3887020371565995,-3.899367170736184,-0.8885669974230573,-4.054473427543672
Consumer Services,-3.2596040382218767,-3.8480283743273658,-3.2613818205995835,-3.419637466846806,0.5026107023033909,-2.0381067298113207,-1.9245465462073779,-2.4830205080863883,-4.329001599082146,-3.6852981664070543,3.4418804179566953,2.6966089997308615,-0.9932407294625839,-1.8163525606747515,-0.4703931232635654,-0.6621480968450171,-0.8906023452177907,-3.9726546823874687,-0.3670920493722896,-3.8383200362627536,-3.290055726761609,-2.8205309628552127
Health Care,-3.4053577853045645,-2.656787451728484,-3.027016597678718,-2.7949203322715634,-2.379083858463363,-0.2089948176874655,-3.9967739451619306,-1.5434564074113337,-3.840804642363951,-3.319362292421345,1.2725644143818167,-1.374736690836347,3.5488780535928037,-1.9818964666288341,-0.7714230071878171,-0.544815142019754,-3.5154762662786214,-4.451077382722201,1.8134985727407051,-3.6792657098942727,-0.3434966001391405,-0.27582126161719944
Utilities,-5.7768201483462605,-1.621015371827151,-5.29135060587393,-4.176039989266721,-0.8163437145156535,-2.596773913582759,-2.1107765895698236,-0.1876719444778098,-6.3017542250249905,-3.5139753394423257,2.1880612873278285,0.6199705146065935,-0.5984672558836566,-1.143349176608526,0.0839114781948556,-1.7466754283156467,-6.3791045466732035,-3.9967181992613434,-1.9559822117486807,-5.51413275772849,0.70123300718831,-4.2425551504340415
Oil & Gas,-4.00585114451202,-1.8504294959328715,-2.817670402283394,-4.0011275604509615,-6.0344649763315195,-2.28440295707575,-2.112203256925816,-1.7180679416357256,-5.478455075350957,-3.218434640375848,2.8861262436538273,-0.44793087554530686,1.8782373728368542,-2.568809017474571,-1.2899795622918575,-1.4401002748270477,-3.9660167330666245,-3.2603844927518435,0.32301778100724876,-1.6206163157494071,0.3117202959682353,-2.6142346699776495
Consumer Goods,-2.3944236407148423,-2.4974155099291955,-2.709745350319129,-3.862264041036576,-1.3643201692031894,-1.44605688558031,-1.8473216851964986,-2.940666591885634,-3.921115024390297,-3.820735598421225,1.4086111903502962,0.3670785183433513,0.22173388044721898,-1.6516723470762804,0.619848253568375,-0.2899423024774524,-3.3509950568804387,-4.436311961927173,-1.9566378946185787,-2.164085791794302,-0.6086514345890021,-3.414148849353881
