,2000_2001,2002_2003,2004_2005,2006_2007,2008_2009,2010_2011,2012_2013,2014_2015,2016_2017,2018_2019,2020_2021
Industrials,-0.0009582883235890627,0.005310673197965597,0.005284334781285199,0.005268773112146923,0.014097334591481436,0.03897368245718237,0.012166102932015001,0.008277626674692198,0.00430765797779391,0.011581406778979961,0.004597243349491422
Basic Materials,0.0018851994104762428,0.009296227852366279,0.007929565590124841,0.00853023142626109,0.016638481926479747,0.03605832059897371,0.01759225768162847,0.009244946500816389,0.002537867591204065,0.01934518507669311,0.005323032096177219
Financials,-0.0007147031022525737,0.0035703366257459736,0.003150269796117617,0.0031673022622752812,0.009541445914741407,0.021541454104071565,0.009042684955002945,0.004781457847146107,0.0012276404587937963,0.007223647976691229,0.0031046329336699725
Consumer Services,-0.00028184662840058063,0.004967675042696592,0.002507286834703518,0.0031783612298911025,0.009397518568287973,0.022694882463413724,0.008079553560769588,0.0033901151684414986,0.000869214243608228,0.0033327600060209218,0.004793901942682258
Health Care,0.000778559606619649,0.007051536505654595,0.0028758956869983344,0.0036997107867756834,0.01153652381831604,0.02795991593325053,0.009347374988547097,0.007179226535703005,0.002274320171246786,0.014380097347755002,0.002523120966279998
Utilities,-0.0015789192761747981,0.002731558428362029,0.0037245609899859288,0.0032833101043475985,0.008380572338112069,0.02508918913394041,0.003126634141050826,0.002429410136758982,-0.001803796436575197,-0.001396688393079096,0.003252139281895992
Oil & Gas,-0.0003958986574368392,0.002350880929646434,0.0011394647554948964,0.001675537538050647,0.005305825626488847,0.02873422417413033,0.005784133538635665,0.0030944572508715216,0.0006231235430913148,0.006918365641511772,0.0027243653893403393
Consumer Goods,-0.00041301430924444636,0.005269557334538336,0.003576206327500499,0.00358437900720352,0.008472432547791639,0.02211521603966617,0.006542099652408145,0.006819403368512462,0.0032207517322566594,0.002875718836748715,0.0010260118024599204
