,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-0.0027202051063962415,-0.0005527686653463937,0.0033415514744746504,-8.659474367128299e-05,0.0016618751685800925,0.0032182476489237594,0.0013079458504790616,0.004010602220254385,0.005500155480425172,0.023643602832742267,0.02553676199555655,0.03704468309979993,0.005984618800486642,0.005134795441448625,0.00357523295468045,-0.0007355835220977108,-0.0008665571541593533,-0.0030571488728722796,-0.004056709016858853,-0.001854470543475348,0.010291781807882025,-0.007032472342539436
Basic Materials,-0.002767063221874229,0.002308902576747301,0.005370200744184325,0.0025798481198939503,0.005894629620041165,0.005089393688983116,0.0019519153724509575,0.006613546851094306,0.009918517916763056,0.023502888934715985,0.02594472567845971,0.03766841782637655,0.003125848958659847,0.0027455767716900344,0.0027883237854357075,-0.001757909881156814,-0.0001575053301771203,-0.002561168043301333,-0.002886830721756907,-0.002048426429186974,0.00791904846492626,-0.008037779930985567
Financials,-0.002696766383305167,-0.0014063966645165404,0.002638176432868753,0.0007498287439868862,0.0005116301119219341,0.0015687213945061985,-0.000707802697953401,0.0037802773420622707,0.001863137047170964,0.019753942222238512,0.01971118637735072,0.026380034981403344,0.004936687014478634,0.005695251456557843,0.0022876024607422145,-0.0014680655175494724,-0.002096452301723853,-0.0038897302410432263,-0.0037991904359110204,-0.00256308923104052,0.007410445037860129,-0.009069002992711945
Consumer Services,-0.002269393798893291,-0.0010920228872668993,0.0003594399378003773,-0.000874532941500896,-0.001453532382964558,0.0007480728925831192,-0.002060291615121252,0.0024160570332096955,-0.0001634497638817017,0.015329497782564733,0.012250681440986358,0.021675962314081504,0.0026292640651227953,0.0028670026117162384,-0.0005604680088010294,-0.0034527554456728698,-0.0014695406311360036,-0.002941250641595523,-0.0046302240379204294,-0.002524665004328636,0.00585575842305345,-0.008509267094684456
Health Care,-0.002310116013577911,-0.0018200605462799296,0.0003899395875410178,0.00030811739025744887,-0.0011699214149473469,-0.0008720442892612596,-0.0015388659053333883,0.0034789007963932517,-0.0013784095775848913,0.012227694582224767,0.015025724632334331,0.024022635768517063,0.0028068521115460596,0.0027149350627143367,0.0006500214696177847,-0.0016793020677837735,-0.002799054425761679,-0.0027478387138941047,-0.0044784910977002405,-0.002072432271222744,0.0026999458533055708,-0.008968259928896069
Utilities,-0.0017882451201920008,0.0038553143410597675,0.006840676862731668,0.0028553806918726553,0.006650462271915717,0.009052366543856806,0.0072528227860399475,0.008682198929155182,0.010384880022824424,0.02410425641302127,0.02598140645133983,0.03205103095321816,0.009742381749218558,0.010438798469054277,0.004349945683457039,-0.001462013047763085,-0.0064267020971674705,-0.002682698043537628,-0.0029828732321530277,-0.002870632406385612,0.005632862477322466,-0.005557078246580004
Oil & Gas,-0.0006709910345816548,0.008963915983538727,0.012042085029218101,0.0012381388623576564,0.007998880059294843,0.013502753200783793,0.011762862626808835,0.0054550117000425734,0.01315847462067891,0.029864509765591928,0.024927286388053253,0.03199333597147354,0.008013443761314468,0.004095284212151596,0.001890460731391989,-0.0019076781678806403,-0.0007324416122434118,-0.0022608420702002942,-0.004380548421643637,-0.0004151704666829582,0.006219029710763013,-0.0064996517205622144
Consumer Goods,-0.0029733966023696968,-0.002209987791141618,0.002561069379984623,0.002094743227771785,0.0015465744382403388,0.000296532736810586,0.0006917987377039232,0.0036638413389099827,0.0003023358868086724,0.015301765894071393,0.015266991490144922,0.022615945900022742,0.0035156086800319595,0.005294046478649329,0.0017521861400727093,-0.0013906238113324525,-0.001986464819156501,-0.002805272432239238,-0.0034370150388365424,-0.0023597596987038837,0.003273552227868456,-0.006429303614513349
