,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
Industrials,1.4064345951557167e-06,2.396842408594115e-06,3.142288258454553e-06,7.923314317628697e-07,2.8833597342603587e-07,2.9541885590672517e-07,7.8708864986037e-07,1.2339179536181322e-06
Basic Materials,1.7228003547010833e-06,6.485893858076304e-06,2.1894600761012734e-06,4.0779458436305217e-07,3.1714309076893347e-07,2.4334766005445024e-07,1.0867527551257526e-06,1.7718364868328118e-06
Financials,2.754981196017778e-06,2.1425671643882493e-06,7.480093169508677e-08,7.83486484237845e-07,7.836989160060568e-07,1.0208675667686234e-06,6.311003595002043e-07,2.316141228315518e-06
Consumer Services,8.05538102874821e-07,7.134137220271172e-07,7.933178819043674e-07,5.155891193983294e-07,1.9355975000684563e-07,1.0289657587868168e-07,1.843311777849327e-07,4.306797579654593e-07
Health Care,4.386955939859891e-07,2.739695289190816e-07,7.92299794875548e-07,2.564581804902603e-07,1.3603787973667862e-06,1.1501043108080031e-07,1.3959179244010067e-07,2.0526600587915537e-07
Utilities,2.360620134138895e-07,2.3028837960832538e-07,8.713025626831202e-07,1.6051271272040805e-07,7.250971529425851e-08,1.2950292959516152e-06,1.417945900124269e-07,9.934143409112228e-08
Oil & Gas,9.889020976420299e-07,1.330432503458753e-06,6.824643789745832e-07,2.3370772237739565e-07,1.2033040952220878e-07,2.146968387922679e-07,1.9410036069039844e-06,5.779152179533859e-07
Consumer Goods,1.078477312673033e-06,9.946876636353946e-07,2.402304849812099e-06,5.975516156826422e-07,1.9688506202897807e-07,1.8476659822779326e-07,5.620194513984109e-07,4.280238979662034e-06
