,2000_2001,2002_2003,2004_2005,2006_2007,2008_2009,2010_2011,2012_2013,2014_2015,2016_2017,2018_2019,2020_2021
Industrials,-0.00618909129503883,-0.0026939036730800003,-0.0054282584198173936,-0.004464086240308946,-0.0022792154809173184,-0.003142358389607499,-0.0027022106681175327,-0.0031398012458262936,-0.00413792611877611,-0.003925711215737589,-0.0033340760595510755
Basic Materials,-0.004592741271762771,-0.0018043292837751697,-0.0023744786218420546,-0.004121027095211675,-0.0012186012076012061,-0.0039143251911926994,-0.004724384675971766,-0.0049808205294714445,-0.0030494894319723566,-0.003058304601571187,-0.0051261363598184674
Financials,-0.005750323134870111,-0.0044459102383682825,-0.006397888408227456,-0.005544809850021916,-0.0032364614306759614,-0.0050287837932057365,-0.005591907771443757,-0.007583104203219768,-0.006454597648853398,-0.007764261453119871,-0.005407202735842368
Consumer Services,-0.006436334071868661,-0.004562398819979073,-0.003938425030491831,-0.006389383416105573,-0.003908517110354746,-0.004104009568770725,-0.004917904510410219,-0.006779242156100075,-0.005677145918949484,-0.005515376868206477,-0.008427944331447251
Health Care,-0.005272987110808439,-0.0053569527144037826,-0.004381015632115865,-0.004750270788171623,-0.0048482490381621226,-0.0029162822334512935,-0.004489779020361197,-0.004540046918731641,-0.005325083880095084,-0.003979505394726338,-0.00720276671469638
Utilities,-0.005172006913209978,-0.004497407548430694,-0.004012377777829799,-0.005548172721077178,-0.004403275901349828,-0.002196995642357586,-0.0030637958102927307,-0.002860809698481237,-0.0045343768096417335,-0.004982580889101085,-0.004511502705298175
Oil & Gas,-0.005416723728798331,-0.0024811295341963277,-0.0030669119829045697,-0.004144698216968044,-0.0019011378125761353,-0.0029144049965077056,-0.0039893233028599545,-0.005490625422730041,-0.005217069357631202,-0.005133492880832855,-0.004052859172179914
Consumer Goods,-0.0062973639688931925,-0.0029872860788430844,-0.004749497453723979,-0.0031161822521416148,-0.0032481936975290926,-0.005958205109001031,-0.003955308548431992,-0.002084646255518322,-0.005041944500982758,-0.003252580106909599,-0.006622411207201697
