,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-0.7485583866214509,-0.6610661647382984,-0.6516983075231564,-0.5909381311676399,-0.5866051610001185,-0.6975822472366195,-0.7054378150481811,-0.6935393909954192,-0.49722649772658234,-0.4797851090887003,-0.5602773480298394,-0.17333588833753566,-0.5985443896595833,-0.6702757618637237,-0.5605896253335384,-0.6336166381330464,-0.5132721953553906,-0.6795232775520332,-0.7225764646016744,-0.6767586473599645,-0.5552680939575028,-0.5835822450718308
Basic Materials,-0.4748346232897792,-0.4360518416317569,-0.25677621032436015,-0.28316430861889436,-0.3080653234464766,-0.40354555192470626,-0.44370289683320446,-0.3571834738223404,-0.17759492859813247,-0.026304378577039666,-0.1851326479895358,0.2146443285046033,-0.26837347631820513,-0.367855399283587,-0.3035693200477025,-0.3711472091263254,-0.22442673898198714,-0.4354862650970664,-0.45429019996949027,-0.4279103872621364,-0.32914044764796646,-0.3754590143899244
Financials,-0.5227214289742182,-0.5148774457399026,-0.43228213627369066,-0.41018543494287096,-0.40654456238204345,-0.4587079887924756,-0.5030880637734038,-0.4380445408183164,-0.14731347655341862,-0.22903525768944924,-0.35172934745074796,-0.05975971560571631,-0.39469642928382975,-0.4151085465573949,-0.3845112651980208,-0.42797842488836246,-0.3572810132564205,-0.4853537190575107,-0.5007598030266652,-0.4902163915733432,-0.38249839395427315,-0.4039526743128083
Consumer Services,-0.5726608051351113,-0.5218171365132405,-0.42829615046319136,-0.44000622685558527,-0.33197676446878754,-0.5206519416818957,-0.5369918623201643,-0.3566423954955096,-0.2002601534199952,-0.3305271452543178,-0.3312114597439068,-0.2257110434840658,-0.5351280649966909,-0.39373996297377517,-0.44398146508776726,-0.47496411742931444,-0.4927629422286651,-0.5403552403688942,-0.520599797484733,-0.5240811117988055,-0.42557650053291507,-0.49934168029914
Health Care,-0.6540039913296041,-0.5845418378910818,-0.6262289679392802,-0.5893490840851796,-0.5256601311533865,-0.6688998281926518,-0.681026653987638,-0.658821860542266,-0.5835448440423295,-0.5981793151488618,-0.5701442741299516,-0.23625549740487375,-0.5583965285470492,-0.6225063336875609,-0.5578031720444193,-0.5927990398832996,-0.5170855069562512,-0.6390380597415426,-0.6768250876225457,-0.6643166454188766,-0.6452046479230223,-0.6215626575400834
Utilities,-0.6824150757647586,-0.6599831872108457,-0.6732230045602474,-0.5737843688327087,-0.5590512860855028,-0.6417773062318051,-0.716306625826539,-0.603024030036858,-0.6478116083317192,-0.5210720228050817,-0.5811126413492177,-0.2155126582813136,-0.6158906501400684,-0.5961335288651176,-0.638033250252698,-0.6280313075128499,-0.6428813212486378,-0.62106076253,-0.7186244901086833,-0.7198248016866772,-0.5684298011974359,-0.641584201851475
Oil & Gas,-0.45063579853215563,-0.42907148318248395,-0.4063171553805034,-0.46378029830095746,-0.412889212253555,-0.4829735680525452,-0.5718251033273194,-0.5004209480601769,-0.5419084206988279,0.0036858661212250668,-0.17167366048619231,-0.023053597972417413,-0.2720145017602204,-0.46885053955728706,-0.33284455501651455,-0.48834611390575594,-0.18102143504101184,-0.3724689320783743,-0.5248084072177569,-0.5511991311674296,-0.4159078744743734,-0.41176936140338444
Consumer Goods,-0.6079449791423177,-0.5940005553668546,-0.5042042840609888,-0.47818973767103834,-0.3235612637487301,-0.6447006382271234,-0.6134819720982069,-0.4154088771935249,-0.3519267477545252,-0.3790782756529247,-0.40358223901351514,-0.21767772793577417,-0.5338102128909802,-0.4554026719206848,-0.552130495634377,-0.5086350235935271,-0.5316464702742282,-0.6019849875125125,-0.5454972099879332,-0.5760756401797917,-0.5991600457604591,-0.5667518741704647
