,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,3.131304661212632e-197,2.9494859114753842e-117,6.011820109323425e-82,3.00481480144554e-84,4.7571270589416134e-88,8.431961452535195e-160,6.984238970216131e-136,7.845600093215694e-83,2.648249376257437e-49,0.01264790082905666,0.555843881055839,1.446735100994437e-12,7.535339727770971e-68,2.985429415808269e-76,7.003583732770078e-71,3.423198343582091e-72,1.4239544076955974e-52,4.134652612166902e-149,1.7312364410609839e-34,6.226304626966447e-67,2.3126624225896075e-15,5.179284325601035e-45
Basic Materials,1.0011352464184437e-23,0.043612880342516785,3.2729923968341964e-06,0.512916485113317,0.3127316596895673,1.4633876520561515e-07,2.576952374758323e-11,0.00960454972400305,2.1198151578439307e-08,6.833936608946402e-65,2.1567781381065147e-80,3.5069409860111565e-81,2.4537440000225274e-07,0.020277859566607184,0.036692730220561395,0.42861694608730827,4.729183123522998e-14,8.12347715477841e-12,8.179505915243617e-16,0.11686622857815177,6.8062146026010284e-12,9.804996221192123e-06
Financials,4.510359003079662e-304,4.2352364924959365e-232,4.235651926131868e-102,4.346906327419407e-176,2.8495549710106653e-168,7.91169599135742e-194,4.255735799937055e-217,1.3191407995477437e-216,1.8695804129259678e-26,3.703360447720909e-11,0.1123420343237329,3.189122734977771e-262,1.0043285476991282e-46,1.3792947222900513e-139,1.178834172019421e-88,1.2119849010467036e-134,1.2397729535364739e-87,1.5123183215954937e-251,7.326491515847535e-157,1.2079874301626798e-147,2.5970812632713135e-32,6.3811141190281e-102
Consumer Services,1.932371004486386e-144,5.391948188520844e-123,2.6944146211292562e-55,2.2376772040678226e-86,5.875789660964976e-73,2.925616326231531e-114,2.2866845385912926e-102,3.3274082560344287e-97,9.932589125686988e-26,0.04208548091984607,6.355236933693092e-10,1.960306527913125e-83,1.3392900340312902e-53,9.496862348867389e-101,2.1138864812777976e-83,3.256042322038105e-110,7.973642368170773e-47,5.315568300449427e-151,2.842825146450774e-124,5.432382531292759e-94,4.363034765123883e-16,1.133651075123423e-67
Health Care,1.5568263937260972e-124,4.773655513220246e-122,1.2188364630554723e-107,1.4687984389949924e-129,4.975199242388878e-118,4.2490732973529344e-122,1.5565815814751554e-137,3.603760345610145e-142,3.4326338162145125e-120,4.7641895326282974e-107,3.3776757271649514e-48,0.09155394766783079,4.0554181119417983e-73,6.773918046565883e-135,8.314516914576958e-106,7.9098760924914e-114,1.0656199170362186e-101,1.4606442024650344e-145,4.153015202707308e-89,3.041853971512976e-121,9.160189830958934e-156,1.8414934209540905e-106
Utilities,7.922235327778568e-114,1.309342994791849e-105,3.06135884429953e-79,1.2644154916627193e-81,1.3303425411359e-69,4.368332778414829e-84,2.7686225133206177e-125,8.323031285826288e-93,2.961260601177763e-71,1.12115856109145e-35,2.4654655216192315e-29,1.819838125261487e-17,6.608775580903429e-87,3.3413874719358784e-103,1.8725206579999485e-99,2.280314635734881e-93,7.634620122595083e-108,7.474177640567746e-124,7.187175614150188e-146,1.715404650097255e-115,3.1676140610411544e-73,4.502055333003677e-110
Oil & Gas,2.721267576691064e-41,3.614900028012449e-11,0.8523501172072374,1.6276351511890616e-23,0.030734609829571366,9.687067180892292e-13,1.1429816589128e-07,5.740983174639006e-20,0.2933924251385428,4.297219069289648e-127,3.8324960175595194e-110,5.067067366525303e-215,2.579107587447818e-15,6.049466701618134e-10,0.07262540445355888,0.11599906285523219,8.505151570185555e-26,1.775614596461932e-10,0.5283042736104666,0.08541761536182597,0.9743516528242958,4.4748533946958004e-05
Consumer Goods,6.155728251518242e-111,8.138366369401331e-79,1.4317347140430613e-46,1.3277420508691562e-39,5.881664303332555e-56,2.838559396645193e-84,9.248622727689816e-92,9.47915137319327e-90,2.121536531242202e-34,0.0007820789233893047,2.8778962018590895e-17,1.337881680790452e-29,3.616192451475026e-23,6.08917325494198e-69,1.0096246482697147e-28,2.7223413423322338e-39,3.7443201465133535e-16,7.073405947506091e-77,3.718275382650229e-74,4.3016798428285537e-47,2.3925249948996588e-55,9.424391733093314e-51
