,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7571634451098557e-197,2.043283174472965e-146,1.4919298118160895e-272,0.008737932441400224,0.0,0.0,1.4766472768559768e-247,0.0,2.4155083410038494e-274,0.0,0.0,0.0,0.0,8.905967385465338e-301
Basic Materials,5.150703289139934e-100,1.3263773129766608e-92,1.3252714138672279e-31,1.7743149869362077e-21,5.282642468493815e-41,2.8274260541438453e-64,1.1802203891950506e-79,3.2091709512444984e-65,0.00370548208913823,4.172556376355962e-09,0.00028312304178785386,1.816649355607261e-49,9.321810363718297e-12,5.099660634641721e-36,2.7565454254218037e-20,8.489803955033315e-37,1.5077112143637095e-18,2.236065863681849e-75,1.019449557783044e-67,5.209427138201286e-60,2.1129853937745246e-45,1.6512481107579172e-37
Financials,3.317582864019462e-255,4.143201025012771e-292,1.1201275253597455e-196,1.2204605082885243e-132,3.612173473667914e-117,2.4722138828505515e-274,1.3296477867993863e-275,5.808847077388787e-79,3.800906127517679e-06,1.447018825505975e-10,7.097302298719457e-28,3.96294377862056e-07,2.0789541882837554e-148,3.0421616978320126e-79,3.522088116519797e-135,7.696476711332757e-111,1.3587039899337563e-182,4.015267316069442e-273,5.1358573366453355e-167,1.1283378294741063e-243,1.0102909992907231e-97,1.6482419772648352e-185
Consumer Services,2.8000812174937196e-287,2.1009878955415126e-277,8.266682945451369e-197,1.2012895616616563e-175,6.3520004925835605e-177,1.526372039851392e-221,2.7632520377164885e-265,1.087646643857831e-202,1.343277003312168e-21,1.9050949463308588e-54,1.976783203752801e-130,5.095262683684434e-05,8.668893604257917e-165,1.3251754599888398e-181,4.0081541012305e-155,3.1194276115818063e-195,1.3678412880868631e-133,1.9692942428633914e-249,1.873267777982579e-264,3.35741535462812e-248,7.005101690932471e-150,1.1810850403514097e-161
Health Care,2.875138249276507e-243,1.121052651673474e-217,6.840735142625921e-222,1.090292608813625e-191,1.1515602397263895e-178,1.842311238547864e-222,1.0365173351942152e-247,1.7020036522271466e-258,1.4342306313173924e-169,6.576194941889918e-173,1.1542521720041213e-156,6.991766373563255e-24,2.918985513545978e-153,7.541920472665343e-196,2.6231016919972455e-155,5.175008260884588e-171,4.690099209880032e-162,1.518993157249754e-234,4.453956802493744e-225,1.0703500686524942e-233,1.0979730621014993e-249,1.7721603990758876e-198
Utilities,3.958795314503525e-177,6.474424466110519e-173,1.3345072320976238e-166,9.16891151244084e-111,1.8100829633262386e-122,6.962474260896259e-146,5.293028426941254e-200,5.802045351133024e-141,5.834010974336135e-139,2.874678723645088e-81,1.391102129132291e-97,2.9060206336207543e-05,8.899546383365474e-145,9.357017585476385e-100,4.5256327457983276e-120,1.655599906317544e-128,9.619297683150056e-138,8.020038245785227e-154,1.6071601266661899e-190,5.405945506318788e-172,1.969947187348851e-126,7.413613759510896e-142
Oil & Gas,1.3681699207718138e-78,3.676072417824033e-86,2.548515162829931e-65,5.428061371691231e-69,3.741129977178163e-50,4.449294987983485e-96,2.59657461211224e-110,3.328521332795378e-99,6.101652756044937e-103,1.2858253091261457e-12,0.04618669432446776,3.8143032011434504e-08,1.3875408978679744e-10,1.5507859891439895e-63,1.9381932230398652e-21,8.667194231404426e-70,4.1272548039822976e-11,2.2565973247727836e-65,1.1710526570624634e-84,2.1312192153323075e-88,1.1064361504554028e-72,6.199780113567718e-40
Consumer Goods,1.8891122117902452e-64,1.9591902468493513e-81,5.62809586942749e-54,2.921352961791055e-32,1.8261503688033707e-23,5.709066810540519e-86,1.1670766411460238e-74,2.0978435143773986e-28,2.6800021801514355e-16,1.783723142027659e-16,9.330594366046935e-22,0.0004955737662945006,2.2141996277045653e-45,1.0173230530666408e-27,1.4618427630399204e-52,1.8039890615656687e-29,3.254732993064577e-52,2.5803111957182415e-67,1.188218519665295e-44,1.0129126160428509e-63,6.128145328636165e-63,2.1338689180987561e-50
