,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-20.91197784096552,-17.670413848153867,-26.12982990963588,-22.51431769252068,-17.43349212701468,-21.418724245725926,-23.847430710346163,-25.125755702065955,-25.232240888853262,-10.138160091840795,-3.2166853613880075,12.659769835038164,-11.555211342525537,-22.932227452117697,-16.91451618260707,-20.924243020886998,-12.608922812082833,-16.514371466036675,-15.35370537786049,-25.78375027684659,-26.8150773316055,-14.617368732252139
Basic Materials,-8.465645647115107,-4.200068298604687,-2.609690347776425,-5.616560106723776,-3.2525252244745415,-6.540385432195054,-6.360005716907637,-5.166540176150526,-6.9761867335177685,2.674025914167469,9.898798488380047,19.292858905471853,2.858308255236125,-5.416178099167508,-3.6213443678437716,-5.035642718542969,0.20078225710670064,-6.846566245263886,0.4837023945272507,-7.549249042791991,-11.08696432250683,-6.220362017471918
Financials,-21.01739157589296,-18.982924416083005,-20.228875165978177,-19.64812031914817,-18.47049112900165,-20.03407714683559,-22.660642167757725,-22.577602578198558,-23.65239624540972,-2.4978072701027654,0.6085040477542393,21.421829558167268,-6.371727770018746,-18.622682711702844,-15.78208060531395,-18.63566016038469,-9.917994923616702,-16.475589387223007,-14.541618131909352,-24.940320295469988,-26.076093864072995,-16.945872914616864
Consumer Services,-15.787475031244043,-14.102759244042346,-16.214905823922116,-15.31794666446186,-13.757942639405059,-16.857283698820815,-17.111528625778725,-16.005068055629383,-18.407898778846977,-6.234298123370588,-4.703483241415867,9.111834398767716,-7.733077420764579,-14.763225615498182,-14.545716222912473,-15.662872790458689,-8.90643406154371,-12.852284758273932,-13.901135274116873,-19.045375596827235,-16.47101033589422,-11.483714176049178
Health Care,-10.166422432639056,-8.978223286952328,-6.775811729097743,-11.89068967000176,-8.819116008640576,-9.808684261710923,-14.98482013384843,-8.049930331412519,-15.486576168711045,-6.434202860619034,2.228408378656035,1.8085810821213764,-10.73846682871032,-10.13749792187385,-9.15844031669014,-8.453909208033162,-9.964653000704931,-12.305277274125489,-2.557852686365432,-10.547611999300138,-11.056723728602213,-9.050679923047515
Utilities,-13.754103575282167,-12.216528560948827,-16.175907522221365,-12.1952728028448,-12.173142064213932,-13.208426288489635,-14.27268618767635,-13.844099900473598,-15.067590861886073,-5.596040420332698,-6.581202230981701,3.8028176554258777,-10.000669120694862,-14.136123506401566,-12.349237066684427,-13.455958225862082,-13.213756752344821,-10.756568508965843,-17.081062000921726,-16.199713307708375,-17.030516745988965,-13.684943986289346
Oil & Gas,-0.057552678231535315,2.726471804966179,4.086510844500912,1.171477128313883,4.401672009359431,1.0387966610795285,-0.3923852853734926,5.713049376978078,-1.3111211565853627,7.25370484086051,10.693207884508045,13.809517690214467,3.782789906645048,5.888742152365322,1.4467936496248952,2.7567499998310665,0.8548192564691764,0.9438032377182225,8.371935586113963,2.7716080188164187,2.828217305305178,0.356507576911566
Consumer Goods,-12.663537717620866,-11.22894398420661,-17.297105659050814,-12.163159467308342,-8.36308969517775,-15.10823301310199,-15.213530168751694,-15.348480013558207,-15.825205676156317,-6.294606489866056,-5.60187024134831,2.947972726612973,-5.107255603499842,-14.974184337209802,-7.907639123289437,-11.9421744326004,-5.225082082492474,-9.185571562311035,-11.928524629700696,-15.271638620731103,-16.557488927592974,-11.0225313055167
