,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.883208777833014e-119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basic Materials,1.8271556439373684e-119,1.0860816870148413e-104,1.1938595627148298e-78,2.361413115387919e-105,1.518073795648489e-94,1.9107389286570938e-110,2.5990257541069184e-120,3.401505834881081e-114,3.1287229915073285e-85,1.1215038936221082e-62,4.8772288711311214e-27,3.1523567548989532e-15,2.4342746351779515e-48,5.638215317757878e-85,8.10751379131289e-83,4.437331738065941e-95,3.487103942100952e-90,3.459603839399079e-145,1.5791854050414966e-82,2.3325293109703976e-129,8.802124155300575e-135,8.796432825724946e-102
Financials,0.0,0.0,2.376728083000963e-277,5.358627017817182e-298,3.824149093018887e-228,0.0,0.0,1.1823657751789628e-224,1.3588698368119507e-192,7.011180730342027e-123,2.4722967229236756e-78,7.5296796602171645e-65,1.0073856677434028e-286,3.9060705582780296e-207,1.4780870143166013e-207,2.3466772431511513e-158,1.802297695534441e-288,0.0,5.5830104606205995e-213,0.0,1.7550264194510554e-227,0.0
Consumer Services,0.0,1.017036252916053e-303,6.30921052869127e-289,0.0,2.7786964679482513e-244,0.0,0.0,8.179478147114754e-304,1.3900491294112767e-178,6.89859191662238e-217,1.0527800012570459e-200,8.159377334017942e-12,2.4028938307728573e-230,2.2434281559050603e-252,9.883688381920589e-274,3.357999466037954e-253,7.640957923345884e-261,0.0,0.0,0.0,1.3267221182008503e-306,1.3964476134932787e-285
Health Care,2.486441854635551e-180,1.7401446775382172e-150,2.9413526562755844e-150,3.618140620149205e-146,1.9596772456049496e-140,7.763184516896649e-158,1.882665354799177e-181,1.1807628970064318e-160,3.9504925645448254e-148,2.526252598504409e-101,2.1640875515733624e-96,2.7169012804390547e-86,2.727678294335455e-171,1.9502362419835315e-159,5.189459261810854e-138,4.210819285761083e-99,2.6693621360070506e-135,7.889834297121633e-167,1.6788897059174608e-124,6.557394571113435e-179,3.449201377274905e-177,1.0117267268672732e-146
Utilities,3.577977783957264e-242,1.4668622757704924e-243,2.3788624513541537e-228,1.141784360626798e-214,1.093740961012617e-237,3.168194112864966e-224,1.7826062918533387e-272,2.2709481977243094e-236,2.7439960156970177e-185,5.008848155732549e-183,1.2504926671748843e-153,4.1307055977171087e-41,7.431861890751028e-213,5.300267337207763e-199,4.2578814261440946e-225,6.9350840953867e-216,9.563922619139744e-261,5.549697120445217e-278,3.9143046602945635e-286,2.0635220722450307e-228,1.8200736308621965e-229,7.523023292328245e-217
Oil & Gas,3.44072228857311e-87,8.994863350972766e-75,4.447954314333386e-86,6.7249183437219845e-77,8.744607738447658e-72,7.196820657513202e-82,1.5633515646383978e-108,2.646090628657079e-102,7.503999081046017e-117,0.01275465078525475,0.5939460659410174,4.6191301577527415e-84,1.2419740440813499e-09,1.2374617172985791e-70,1.2727128898280689e-52,3.668458474348766e-69,3.069025521754357e-22,3.074873468969296e-58,5.917274692483439e-46,1.1264872002682081e-122,2.8193864346461142e-129,3.352217689422981e-52
Consumer Goods,2.875138249273235e-243,1.1210526516739841e-217,6.840735142633317e-222,1.0902926088133146e-191,1.151560239727045e-178,1.842311238548388e-222,1.0365173351937436e-247,1.7020036522277275e-258,1.4342306313173924e-169,6.576194941898152e-173,1.1542521720041213e-156,6.991766373563104e-24,2.9189855135471414e-153,7.541920472665343e-196,2.623101691996798e-155,5.175008260885472e-171,4.69009920987683e-162,1.518993157248544e-234,4.4539568024967855e-225,1.0703500686524942e-233,1.0979730621013745e-249,1.7721603990750807e-198
