,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-35.53610499641052,-32.466838968785176,-33.194844003943956,-31.075129185784352,-33.28274865350573,-33.16029750450634,-35.818767446407236,-36.22005834783926,-35.56208955818112,-27.0381364191735,-26.581197237723906,-25.403891553219122,-37.508925866196606,-37.333196899062315,-32.83511625135311,-27.83362095628443,-30.18441010576261,-33.59574793867857,-29.637721307312635,-36.09910165762317,-40.16901373639747,-29.51426734533862
Basic Materials,-13.910833461067428,-11.826172158666353,-12.242435874488404,-10.824725845390352,-12.586103349272578,-12.79231840471994,-13.58255878092628,-11.101619707433603,-14.533089527381618,-10.301624014907876,-7.371967657133858,-6.697337622058369,-11.997128137287582,-13.026583832630639,-11.443668814785145,-11.037335506734637,-10.365010139675114,-14.007721822303507,-7.0549170635276415,-13.403259053513876,-13.459470421201706,-10.936649654535147
Financials,-30.44344250714131,-27.49108266050761,-27.46779179220202,-27.0477547934464,-26.451701917541865,-28.235557425919076,-30.550976541999248,-28.517729455646034,-27.249752620362965,-22.106096351225403,-21.514071088838875,-20.26146470245409,-29.567916751419858,-28.3959828945077,-26.1971660732537,-21.840921946058348,-25.9103803673682,-29.130204139607887,-24.746159381865766,-30.306779090887176,-30.140807015017714,-27.104835179405324
Consumer Services,-20.263370969302073,-18.768375059803827,-17.520332029991504,-17.4874117043366,-16.18971209158088,-19.033974806836284,-20.522443342688724,-18.95716330131387,-17.524147812908506,-14.85305240828426,-15.601866386044135,-12.812745283421846,-21.50805540998815,-18.864301409602483,-17.34732454567436,-16.096166744663297,-17.405761979178013,-19.912634334394372,-16.574936147333435,-19.741984184748915,-20.561068703871808,-18.7670802023161
Health Care,-12.453232719290837,-11.879000669243748,-11.250108652199954,-11.435874419600443,-12.71519319192898,-11.476270863643972,-12.04872261377723,-13.674375242771688,-12.898472677682179,-8.622260968036631,-11.493448941635554,-10.059667704651888,-13.428057991930782,-14.349303704160189,-11.681465925795242,-9.445187376111484,-9.360317151153954,-11.369452518799866,-10.535996310596158,-13.1090020761214,-14.308392228491115,-9.742362457378205
Utilities,-18.694103236858606,-18.72420556077277,-17.93815699636721,-17.311293201847764,-18.614736452970597,-16.932144200135898,-18.446182646298467,-18.69533142150037,-18.42644578694301,-13.292704129847836,-14.552629501480727,-12.61292586087732,-20.626906042255467,-18.559889631795915,-17.184823434516602,-15.977139645151697,-17.566235378698774,-17.754051871571136,-19.204509176465468,-20.464582164807016,-20.882442903021875,-17.019333779089706
Oil & Gas,-9.968664237063747,-8.802836272605695,-6.585425530811107,-11.731040158717175,-9.261263630340514,-9.659442971791185,-14.633555465975384,-8.143331459092547,-15.995482882649416,-6.544339439743517,2.2778457505533933,1.86813534445273,-10.80142432293894,-10.265702656110847,-8.941874838809394,-8.40753083270878,-10.034610731377194,-12.237731554684267,-2.6836067636413614,-10.886035841550806,-11.078354009399606,-8.873514461090366
Consumer Goods,-16.7892730285333,-18.216904091348223,-17.236922318871308,-16.382261952964633,-14.288757904989701,-19.335039134411506,-19.34675951604397,-17.012903236153793,-17.31042682397711,-14.439141273220484,-13.554942229360003,-12.053241593396118,-16.991434198395556,-17.44344375703599,-17.775132160988285,-14.37910792238193,-14.826027705505338,-17.7099127068082,-14.929493475071103,-20.89676928431057,-19.95182175270009,-17.385152560036797
