,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,-0.0013653848775415042,-0.00163453649081809,-0.0013481171661599298,-0.0015055979872723479,-0.0017166675631616762,-0.002873934870418969,-0.002818813302377305,-0.0016937261355487708,-0.0032075415889661675,-0.0014959792408596113,-0.002046244862522181,-0.0019501046390445317,-0.0014841908896425337,-0.0028616513503641173,-0.0015323733764057933,-0.002461103694338692,-0.0018377404086480174,-0.001430596968586606,-0.0026298684122704166,-0.002858501500489106,-0.0033380720713732373,-0.006228832421194091
Basic Materials,-0.0019019469186590651,-0.002345959564305871,-0.002747042612234095,-0.0018908127215073861,-0.0025672457534456367,-0.0016376400089215006,-0.001839721058988156,-0.0026519960745820066,-0.0014018264789724265,-0.001557166772778957,-0.002138560055849955,-0.0020953285765750174,-0.0014665829514980125,-0.001834686265214198,-0.001705458647995149,-0.0024662553819860887,-0.002245000212186416,-0.0023346360271896214,-0.002241199872987476,-0.002121788067652178,-0.002162466910774187,-0.002647880227676959
Financials,-0.0019134558028617616,-0.0018076768077639979,-0.002307185645393073,-0.0019749834278386075,-0.002015465040350252,-0.0022023921163384966,-0.0034496868459747785,-0.0025559873453021415,-0.002995751787493615,-0.002008197592142962,-0.0024299231040751743,-0.0021130680078170474,-0.001658561494031544,-0.001607105174078427,-0.001573102197480734,-0.0019498087668381712,-0.002388236077788816,-0.0017651563128138394,-0.0019677775745823743,-0.0015700200931720802,-0.0014509252623947295,-0.003649006579639875
Consumer Services,-0.0013334445315316705,-0.001748856545295536,-0.001148791447715831,-0.0017998700016810952,-0.00122407224505359,-0.0017106603934014038,-0.0016196124297710413,-0.0017844772175334787,-0.0014284689187104556,-0.0010570387035120493,-0.002105886716200286,-0.0016412085213699651,-0.0014000654178015675,-0.0014616910376483462,-0.001537479431218447,-0.001613382300972185,-0.0016346266861839709,-0.001391829989850324,-0.00177990554698777,-0.002115363763375707,-0.002625134231636223,-0.005029524363811649
Health Care,-0.0031528832218037247,-0.002652248844643244,-0.002008802437056894,-0.0013147244830762986,-0.0023197038132448953,-0.001192075253391892,-0.0012329573119156073,-0.0010800321947398218,-0.0016469857500754947,-0.001755154000872602,-0.002180302156611453,-0.0015451675831546512,-0.0020210991173288395,-0.0013269039648022396,-0.0015296985274794459,-0.0004955836921403937,-0.002154054052429017,-0.001534273552953185,-0.0026666301405195293,-0.0023150182525810757,-0.0016573244398624177,-0.003313160512515832
Utilities,-0.0014452703585913693,-0.0022210736140835176,-0.0013515149179307582,-0.001531858513936836,-0.001957300268950979,-0.0018236549050210233,-0.002016946201078326,-0.0023788391843893855,-0.0022696745914705767,-0.0019045082892186268,-0.0015161677637830463,-0.002473209475608724,-0.0018897475132343378,-0.0019591417781178616,-0.0025491299856290235,-0.0021057339372642188,-0.002823206565972664,-0.002880905233921822,-0.0010480375392757464,-0.0014930796766137494,-0.0013400792387613222,-0.0034732577594966444
Oil & Gas,-0.0031084295472710377,-0.0012776881273208435,-0.0020326540509325902,-0.0011428279944969422,-0.002926632991554547,-0.0021033089487789637,-0.001637450030653742,-0.0019170546087989785,-0.0016124461876380598,-0.002662210740959762,-0.0018556927144289137,-0.0016790449024070991,-0.0014186270519493949,-0.001673941169559358,-0.001996921492833595,-0.001956620814663371,-0.001177620541609522,-0.0019919193414854788,-0.00240574532235451,-0.0020562477715026996,-0.002194508707476471,-0.0033246189437557876
Consumer Goods,-0.0020033996884434176,-0.0018717021866909013,-0.002252839125210558,-0.001522290383304156,-0.0016411118778533725,-0.00223611473058809,-0.0022473370357478143,-0.0020743530895399407,-0.001348877622130911,-0.0017836929108490235,-0.002055881309243952,-0.0024391795526760773,-0.0024686456729867247,-0.0022710418911798145,-0.0021434938124401323,-0.0029757935476637963,-0.002105445217500731,-0.001758884870715979,-0.002494027342023093,-0.002457813519604425,-0.0023306272258211804,-0.003029187703727652
