,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,0.018405994481151378,0.02223590223272981,0.021865786785278563,0.02669116892399404,0.02220569301287369,0.019378543256504635,0.013180628711407622,0.03522082583826364,0.010023698065370677,0.030638017347420055,0.025347728731345498,0.01094429692677112,0.027735981275198957,0.03591364855349999,0.022943568102186264,0.022063503912085995,0.02257489377834483,0.00654089018297052,0.012811785678444895,0.016055593730972692,0.014083084985280513,0.013344981528289258
Basic Materials,0.011003656345966163,0.009184148043058078,0.0025047259493121603,0.013813449682404335,0.01005047469496488,0.00741874709997074,-0.000443883651158001,-0.004819004699216859,0.007806235083871441,0.004864481163260427,0.009977902808388122,0.002877493058142498,-0.0005164492330806767,0.011160461405966255,0.015212616408386972,0.010610482864665727,0.01199840380966852,0.006565258816009971,0.008117305095244661,0.002958179915540647,0.0046929711571443294,0.01118473347216225
Financials,0.007153215851562062,0.005543803201157463,0.005867677055356386,0.02232818529159951,0.01158328892314048,0.010800270989950725,0.008973826847406689,0.010349358171562802,0.007122630999952102,0.012551362991124635,0.01717699007629862,0.003896939749319404,0.019258893345250723,0.01753013484485578,0.01887663750892808,0.0007317123034189902,0.00782313492068391,0.012423637185538107,0.0035734526834408573,0.00951003184603047,0.012673212264896698,0.005890117268079071
Consumer Services,0.004942907747984192,0.024779106934557975,0.003907570936117764,0.018951265324080632,0.022961858043582806,0.006693490202718642,0.006409649022599493,0.0174327531794752,0.00813773280945238,0.01877852173742948,0.016509596645463104,0.006466455863943958,0.027906247680111244,0.014385434797345255,0.013287143743165286,0.007762861754301101,0.00542999328367915,0.016231945401712116,0.015176585213232592,0.008493790911405036,0.008756538196498109,0.004460050191304475
Health Care,0.01901616041029606,0.02043066478349182,0.008087650196499168,0.017407828822198917,0.036699024120107386,0.023455551680551454,0.0194888675559768,0.019462966952796857,0.017918802325097846,0.02150408894829002,0.02554970850599796,0.015923031925655636,0.023015680706304942,0.018136238373652944,0.04812262787558665,0.021415232243174705,0.019501754072375588,0.015306270413725351,0.021885960623744576,0.00885012524535696,0.007670257634296527,0.02127180160648304
Utilities,0.017915166315931787,0.02641119333223955,0.01498406076272906,0.03307309132071962,0.02592582379097052,0.013558679528290212,0.0035767735538946395,0.031479616514776106,0.0174730906189987,0.03181387814934632,0.018714997221639995,0.010149484554349636,0.011543756772515299,0.028842953289904116,0.032661133882719816,0.02108501774261366,0.02651628521254467,0.019173239223922094,0.017331755872335007,0.014731481510122643,0.01335055249406402,0.016779362975472934
Oil & Gas,0.008035072193048068,0.014677691184660516,0.003057881076503875,-0.0012900470094874843,-0.006405541646168673,0.006394827253169881,-0.005709671098361507,0.0023340803121085266,-0.010119342922824487,0.0075309086197272975,0.009580648648640323,0.0023666095985703794,0.009183926746412949,-0.0007601501181604916,0.01762964523040875,0.005697632242185634,0.006714814257120778,-0.0025633658063062598,-0.006212386690221036,-0.0009283336456787567,0.003421272527557725,0.016206135783478067
Consumer Goods,0.009780655024004612,0.021652302794664166,0.018646928857749653,0.00959943024641604,0.025167388259513642,0.021299458034858755,0.007730940237005754,0.012120075914250832,0.012180512584934406,0.021927475377951016,0.02120064148982068,0.007041359107340035,0.009723146094320434,0.030475678308714612,0.03802087185695462,0.00835671757248295,0.02031112328740888,0.011980046052801605,0.017720836285266755,0.005912955826135922,0.02112239549474925,0.01887850479401119
