,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrials,0.048435678967113885,0.1311760445388747,0.13470639707670284,0.06798351698823801,0.11983125132399006,0.14588548070557475,0.15885747635510308,0.10023040275822023,0.18022137314742448,0.2392376650099046,0.2411918540847232,0.25967548213778746,0.13589809362270389,0.08830904838011637,0.11633647239929205,0.11651271724011528,0.15750586911771486,0.07616850073660289,0.1107966684506142,0.12689242118328678,0.17084709546175866,0.16181998502790698
Basic Materials,0.05214924459848825,0.14528617245195724,0.15137580385147126,0.08246380923422672,0.14450745268584958,0.16229511053629966,0.20550543577172176,0.12389559747387034,0.23658968330191338,0.26442992803209203,0.25456534886347226,0.28717300694579817,0.14351058155695912,0.08806239432152559,0.12228010929809031,0.13543443589917778,0.16446174498074348,0.08283498233825688,0.1422156239752693,0.1378874587641357,0.15825924378853867,0.19559360650093124
Financials,0.0460768764273263,0.1222920851800231,0.1304477989481244,0.07056844554304643,0.11308813618195832,0.13740239080001226,0.14659960127623964,0.09291085181606375,0.1601766534708602,0.22476937891700474,0.2013867513143177,0.21531736774230453,0.1247222924095847,0.08544188430504596,0.10026493932612907,0.09999139987754535,0.13304773289423116,0.06722240446277916,0.09036202212739024,0.10213189874368173,0.1387297555415749,0.1721888110143488
Consumer Services,0.0464893242721348,0.1255731744200687,0.1236927378960622,0.0604347938020289,0.10748226667949567,0.13518501432482308,0.13713736354059855,0.09056590802742205,0.15220856428632923,0.20966968183112106,0.182989322849799,0.19597157527003586,0.10671333534141543,0.07495160558770242,0.07994519734614124,0.09022535294321095,0.12517921283950187,0.06684391526721979,0.0821676196116368,0.09430656664770895,0.1351233564137373,0.14784292231530938
Health Care,0.05062956959058837,0.1223773167959243,0.12095687283551387,0.0678850438473542,0.11182286688110703,0.13142268791584294,0.13757767545366983,0.09605217722305293,0.15103975154694435,0.1721047823570072,0.18850871838939293,0.20004271708467442,0.1158583383542851,0.07216168011044954,0.08753604750027656,0.08976412408620943,0.11762420479358475,0.06503714433536842,0.11176940239030114,0.09347748873614879,0.10885597390593892,0.1379369922666134
Utilities,0.05125456625652488,0.1491678897531532,0.13660815712664984,0.07111331445396901,0.13097217381155102,0.16645026296473567,0.16625474709665883,0.10486025237589576,0.18555233254740916,0.20920701783334608,0.189048007236379,0.2155745098818637,0.11705578388416094,0.08197005888263419,0.09238776706678441,0.09358698406652169,0.10530103421393111,0.06670344059605987,0.07285112726077457,0.08706398975660316,0.1116436621968335,0.14318650700023952
Oil & Gas,0.09576427533230827,0.26698679159289257,0.23220745854680358,0.11775858919631381,0.243084882803165,0.28621971165725923,0.30786871847894864,0.1621177593798962,0.33814653990573823,0.31410436175592316,0.263957137530561,0.29980212255215766,0.17550344128588452,0.10533105291852343,0.15761204294286385,0.1924404293996062,0.22829835587066938,0.13810871098484542,0.15700017896150056,0.1848989177586972,0.19037195944049118,0.30482402199431524
Consumer Goods,0.0451497284615377,0.11892453814027551,0.12356730945112814,0.07620197299463709,0.1167313903133311,0.13324482474709637,0.1486362745425784,0.09904636836443988,0.15624575494252152,0.20962329709525254,0.19567641341399564,0.2006039488756811,0.11753264694621854,0.07761343563315849,0.09321172940385643,0.09834289251148991,0.13571236086506858,0.06661375731893036,0.08732804311355685,0.1066510520764287,0.11280479630426285,0.14711675011490286
